bias_process_std_deg_s,ki,kp,mean_outage_rmse_deg,mean_rmse_deg,method,outage_rmse_std_deg,phase_process_std_deg
,0.0,0.2,1.207774455359285,0.758818051474667,pll,0.187182194490958,
,0.01,0.2,0.5986096474239222,0.38965678863665026,pll,0.26949305616755237,
,0.03,0.2,1.0297379536934401,1.0086472432524178,pll,0.5934056382100756,
,0.05,0.2,1.2012017996270035,1.1546220050510947,pll,0.6578224927726465,
,0.1,0.2,1.7136895018701364,2.220894582033721,pll,1.1228170847679637,
,0.0,0.4,1.1560566702350454,0.7000324783371553,pll,0.1744950935065534,
,0.01,0.4,0.5077569896095513,0.3224595647187563,pll,0.25880543118037636,
,0.03,0.4,0.8151965956472227,0.5042211007171339,pll,0.42315647735051937,
,0.05,0.4,0.9867096724964999,0.6021930443167773,pll,0.4969907503593619,
,0.1,0.4,1.2405960912463319,1.5653722798449459,pll,1.0453725615644125,
,0.0,0.6,1.1423123259268135,0.6841731606038931,pll,0.1723359731313222,
,0.01,0.6,0.457385388771677,0.2893317049068643,pll,0.2352691459654998,
,0.03,0.6,0.713255597870044,0.44063037729049065,pll,0.3835243247257426,
,0.05,0.6,0.8591892366281784,0.6986846550898484,pll,0.5325191585832476,
,0.1,0.6,1.1481960890984777,1.2657490394069415,pll,0.9537265064660733,
,0.0,0.8,1.1361877153341822,0.6774986635520864,pll,0.1715052504734752,
,0.01,0.8,0.42420326013942755,0.26897943060257495,pll,0.22685961755850195,
,0.03,0.8,0.6484064627889764,0.40052122849242505,pll,0.37117587543467334,
,0.05,0.8,0.7978976182983932,0.6581790701482404,pll,0.5135868644317999,
,0.1,0.8,1.1548998609137864,1.2284165981585236,pll,0.8351779936792324,
,0.0,1.0,1.1333836333556966,0.6747764593316226,pll,0.17089038685120453,
,0.01,1.0,0.4101264188724831,0.259426436900554,pll,0.2195080946433182,
,0.03,1.0,0.6060640458419848,0.3744892348238288,pll,0.35979073262795724,
,0.05,1.0,0.7690599367870808,0.6369254433756586,pll,0.483835729930598,
,0.1,1.0,1.1497950219146014,1.2126443620961969,pll,0.8063502713556696,
0.0001,,,0.6818975657064943,0.41909871002936755,circular_kalman,0.3211801289267786,0.0005
0.0002,,,0.7955139535719391,0.48488697329138236,circular_kalman,0.41955395226072445,0.0005
0.0005,,,0.9300282336676903,0.9356388264645872,circular_kalman,0.701826428331506,0.0005
0.001,,,1.24945492611907,1.329761896960308,circular_kalman,0.8933754980553473,0.0005
0.002,,,1.8060972243311266,2.1895271583124996,circular_kalman,1.039540896382316,0.0005
0.0001,,,0.6765101611992069,0.41598013326294314,circular_kalman,0.3192536783068151,0.001
0.0002,,,0.7923017259578413,0.4830659517663586,circular_kalman,0.41841365487771887,0.001
0.0005,,,0.9290442680039643,0.9343940202562703,circular_kalman,0.6998815863376808,0.001
0.001,,,1.2479234416974487,1.3280510060979,circular_kalman,0.8922631937273395,0.001
0.002,,,1.80433088359079,2.1873153471011295,circular_kalman,1.0389420916831336,0.001
0.0001,,,0.6573200361510516,0.40488657932995264,circular_kalman,0.31312382278184103,0.002
0.0002,,,0.7802738505282468,0.4762544102066598,circular_kalman,0.4139648039326812,0.002
0.0005,,,0.9251662808786236,0.929526657868321,circular_kalman,0.6923217558428122,0.002
0.001,,,1.2418864023108638,1.3213042266864705,circular_kalman,0.8878760458426304,0.002
0.002,,,1.7973251632298435,2.178545368220966,circular_kalman,1.0365751874001161,0.002
0.0001,,,0.5780891276482676,0.3590465759090417,circular_kalman,0.2919899111609868,0.005
0.0002,,,0.7197319747910068,0.44181612382162044,circular_kalman,0.3878454956802126,0.005
0.0005,,,0.9002298881237006,0.8995554908332138,circular_kalman,0.6475943342178005,0.005
0.001,,,1.2030693307751683,1.277937818708012,circular_kalman,0.8598750652466637,0.005
0.002,,,1.750794756983074,1.945485195204149,circular_kalman,1.021174132253761,0.005
0.0001,,,0.4812821341804784,0.30192723894509776,circular_kalman,0.2522951553813239,0.01
0.0002,,,0.6170883288700411,0.38222084630700187,circular_kalman,0.3397135996365438,0.01
0.0005,,,0.8323593825192731,0.6977769835625338,circular_kalman,0.5527698382273243,0.01
0.001,,,1.0972868394098185,1.1610653105717736,circular_kalman,0.7892212198237071,0.01
0.002,,,1.61321625207243,1.654576024366429,circular_kalman,0.9785587426942208,0.01
