seed,rmse_deg,outage_rmse_deg,final_rate_bias_deg_s,pre_outage_rate_bias_deg_s
0,0.08100509993908672,0.07962354038720884,-0.002762541711880481,-0.0029167986494582567
1,0.3286624815391464,0.5417177449987822,-0.0023414532053911406,-0.0019716329793113144
2,0.10470452633771525,0.12406541129956758,-0.002551876917956569,-0.002699351874832124
3,0.12245324339794901,0.15022630061848335,-0.0034680763401230374,-0.0032960640401907128
4,0.38459784043848233,0.6526392064917795,-0.003010858412099707,-0.0036590384565435225
5,0.14202417279491958,0.2287446404978887,-0.002917687749314018,-0.002489145819190423
6,0.22563998151147804,0.3257387136199193,-0.0029538616155145346,-0.003375989777673548
7,0.13595296781908445,0.2243107829912513,-0.0019608859005191257,-0.001441335861824771
8,0.13740685128913888,0.22188986015533788,-0.0029915473204230308,-0.0029146866945954472
9,0.08407905333207254,0.0889771526289864,-0.003087639107707708,-0.0031553490584216143
