case,seed,parameter,rmse_deg,outage_rmse_deg,maximum_abs_error_deg,pre_outage_rate_bias_deg_s,final_rate_bias_deg_s,pre_outage_bias_observation_count,final_bias_observation_count
initial_phase_offset,0,-2.0,1.0095343101371754,1.5097835789264418,2.5552841570872364,0.0012134819468196567,-0.0014522717409151417,48,93
initial_phase_offset,1,-2.0,2.9106084202496683,2.0038092203206146,5.968820436141653,0.0021501137948000747,0.0021501137948000773,48,48
initial_phase_offset,2,-2.0,0.9430955239093919,1.3829627125859318,2.3264003873500827,0.0014278760346126513,-0.0012413203140310518,48,93
initial_phase_offset,3,-2.0,1.0283556944343777,1.5424697359433093,2.7823301011569126,0.0008256583171748313,-0.0021509517897453662,48,93
initial_phase_offset,4,-2.0,0.697367216083092,0.8394783077533224,2.007035820870282,0.0004669746381402563,-0.0016971762407601955,48,93
initial_phase_offset,0,-1.0,0.5085006474736894,0.7772570439299851,1.3544556591702375,-0.0008453873971754326,-0.002106453183408309,48,93
initial_phase_offset,1,-1.0,0.7841739302262903,1.2739829177641957,2.174826794976784,9.881534955304982e-05,-0.0016768764415804355,48,93
initial_phase_offset,2,-1.0,0.44265955279330266,0.6521504952775603,1.0534299198266246,-0.0006298071565081721,-0.0018954709782343607,48,93
initial_phase_offset,3,-1.0,0.5316709569464931,0.8149829361434752,1.5236663881845354,-0.0012294712093211305,-0.0028052935881149976,48,93
initial_phase_offset,4,-1.0,0.24937139017149826,0.15713149377162083,1.007035820870268,-0.0015893058983566756,-0.002351195717121355,48,93
initial_phase_offset,0,1.0,0.5141586289326356,0.6995103588114532,1.4754461787528397,-0.00496761271066357,-0.0034142862614545666,48,93
initial_phase_offset,1,1.0,0.3377067039904809,0.22880669735029543,1.3183887838604813,-0.004031418934708722,-0.0029848721421917726,48,93
initial_phase_offset,2,1.0,0.5795788847929191,0.8285254646348135,1.5114770739292158,-0.004755151445508459,-0.0032033379640259508,48,93
initial_phase_offset,3,1.0,0.5084396425472775,0.6826425094044157,1.3500138315572612,-0.005360755210559002,-0.00411323983678911,48,93
initial_phase_offset,4,1.0,0.8623497846454394,1.381531898259377,2.1761351984846535,-0.00572080319184376,-0.0036591733263447654,48,93
initial_phase_offset,0,2.0,1.0014397144669307,1.4036085003628946,2.5625591451488217,-0.006947451596236189,-0.004067849955523414,48,93
initial_phase_offset,1,2.0,0.7851295285443158,0.9244345348380517,2.318388783860801,-0.006037589414916819,-0.0036384581591083743,48,93
initial_phase_offset,2,2.0,1.0693187484251505,1.5364449864448952,2.7361404094490243,-0.006746102850295,-0.003857030455418221,48,93
initial_phase_offset,3,2.0,0.9956666448561639,1.3897596170338016,2.3500138315577077,-0.007363142376504309,-0.00476686575727107,48,93
initial_phase_offset,4,2.0,3.1454501177120906,2.0929062138035013,6.548392068507369,-0.0077211841375273175,-0.0077211841375273175,48,48
time_varying_rate_bias,0,0.002,0.372405239838116,0.6257399629944589,0.8545044416345929,-0.0039488007073911315,-0.00296144614425752,48,93
time_varying_rate_bias,1,0.002,0.1774549036928581,0.27914530491455924,0.5142628676929,-0.003005190355048677,-0.002532030785073371,48,93
time_varying_rate_bias,2,0.002,0.42760885700460766,0.7213852365962053,0.9962858924672378,-0.0037341098106351295,-0.002750467434796863,48,93
time_varying_rate_bias,3,0.002,0.38234910411997747,0.62654719403824,0.8894451284810146,-0.0043349657126789,-0.0036603946392569846,48,93
time_varying_rate_bias,4,0.002,0.7549452153604219,1.2889647389763568,1.6991757029128296,-0.0046952109992730775,-0.003206218599238319,48,93
insufficient_pre_outage_baseline,0,60.0,0.6962544177508792,1.1866021888802416,1.711124208658801,2.2203121441185896e-17,-0.0027596199315360016,0,99
insufficient_pre_outage_baseline,1,60.0,0.48842436269716505,0.8215046223216235,1.2817951487114603,2.2203121441185896e-17,-0.002336725414561806,0,99
insufficient_pre_outage_baseline,2,60.0,0.650617944226236,1.105382584420298,1.6866791666212395,2.2203121441185896e-17,-0.002547172659433245,0,99
insufficient_pre_outage_baseline,3,60.0,0.7696287200078221,1.3016796034673204,2.1999905867696445,2.2203121441185896e-17,-0.0034617538757749275,0,99
insufficient_pre_outage_baseline,4,60.0,0.8581067164868585,1.453920163610726,2.531805388877091,2.2203121441185896e-17,-0.0029999963122391868,0,99
