case,seed,parameter,rmse_deg,outage_rmse_deg,maximum_abs_error_deg,pre_outage_rate_bias_deg_s,final_rate_bias_deg_s,pre_outage_bias_observation_count,final_bias_observation_count
initial_phase_offset,0,-2.0,0.6339436496893082,0.7100503685534232,2.0000000000000284,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,-2.0,0.728562641052083,0.9295465815695679,2.0000000000000284,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,-2.0,0.5298856697527192,0.4094500236761254,2.039871635806849,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,-2.0,0.6533079240218393,0.7544780618070426,2.035284114803525,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,-2.0,0.4923927449094354,0.12570783450534,2.007035820870282,-0.0017958403424203505,-0.0024084240558258753,3,7
initial_phase_offset,0,-1.0,0.4733428827050148,0.7100503685533611,1.2458901349702796,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,-1.0,0.5948263700406183,0.9295465815695445,1.63001516665311,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,-1.0,0.41836075445878235,0.6043836443338793,1.0398716358067839,-0.0007649704010623326,-0.0019222249314112356,36,81
initial_phase_offset,3,-1.0,0.5844871114045659,0.9148765604653029,1.6971006277847325,-0.000945590264939203,-0.002143288035291562,14,18
initial_phase_offset,4,-1.0,0.24219531549845796,0.12570783450532613,1.007035820870268,-0.0017958403424203505,-0.0024084240558258753,3,7
initial_phase_offset,0,1.0,0.5180821458577365,0.7100503685534841,1.4754461787528397,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,1.0,0.6323495765022756,0.9295465815696061,1.6300151666532119,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,1.0,0.394864307219347,0.4094500236762276,1.4625188286196755,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,1.0,0.5403443044764683,0.7544780618069853,1.4184045894465127,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,1.0,0.8507598053904036,1.3606605924376005,2.140330910250935,-0.005662074964102401,-0.003604477627727206,36,81
initial_phase_offset,0,2.0,0.7004256658355439,0.7100503685535046,2.475446178753083,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,2.0,0.7892394348200643,0.9295465815695704,2.318388783860801,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,2.0,0.6172327731674243,0.40945002367636124,2.462518828619944,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,2.0,0.7167316708196402,0.7544780618069936,2.3500138315577077,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,2.0,0.5543629002918903,0.1257078345053558,2.2466473073877973,-0.0017958403424203505,-0.0024084240558258753,3,7
time_varying_rate_bias,0,0.002,0.3294380513849259,0.5511414629045054,0.7586108476962968,-0.0037200350328050573,-0.0028855697753316966,36,81
time_varying_rate_bias,1,0.002,0.17201222514728395,0.2665875073352684,0.46615509154018925,-0.0028058296540222345,-0.002427723413440394,36,81
time_varying_rate_bias,2,0.002,0.3824023961220648,0.6431841614527634,0.8880461794907913,-0.0035096377358738978,-0.00268192320748969,36,81
time_varying_rate_bias,3,0.002,0.3817365752552579,0.6265912688592398,0.8895001916924664,-0.0043351059935591504,-0.0035546509093168106,36,81
time_varying_rate_bias,4,0.002,0.7647012098844097,1.3057568693601231,1.7184722684386458,-0.004743490691886084,-0.0031208349512792718,36,81
insufficient_pre_outage_baseline,0,60.0,0.6962773606546458,1.1866021888802416,1.711124208658801,2.2203121441185896e-17,-0.002747543207456735,0,87
insufficient_pre_outage_baseline,1,60.0,0.48861354274427665,0.8215046223216235,1.2817951487114603,2.2203121441185896e-17,-0.0022897242066350887,0,87
insufficient_pre_outage_baseline,2,60.0,0.6506361701799119,1.105382584420298,1.6866791666212395,2.2203121441185896e-17,-0.00254388826028888,0,87
insufficient_pre_outage_baseline,3,60.0,0.7695623156121132,1.3016796034673204,2.1999905867696445,2.2203121441185896e-17,-0.0034166266571148884,0,87
insufficient_pre_outage_baseline,4,60.0,0.8580957057900879,1.453920163610726,2.531805388877091,2.2203121441185896e-17,-0.002982773379202084,0,87
