case,seed,parameter,rmse_deg,outage_rmse_deg,maximum_abs_error_deg,pre_outage_rate_bias_deg_s,final_rate_bias_deg_s,pre_outage_bias_observation_count,final_bias_observation_count
initial_phase_offset,0,-2.0,0.6339436496893082,0.7100503685534232,2.0000000000000284,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,-2.0,0.728562641052083,0.9295465815695679,2.0000000000000284,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,-2.0,0.5298856697527192,0.4094500236761254,2.039871635806849,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,-2.0,0.6533079240218393,0.7544780618070426,2.035284114803525,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,-2.0,0.4923927449094354,0.12570783450534,2.007035820870282,-0.0017958403424203505,-0.0024084240558258753,3,7
initial_phase_offset,0,-1.0,0.4733428827050148,0.7100503685533611,1.2458901349702796,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,-1.0,0.5948263700406183,0.9295465815695445,1.63001516665311,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,-1.0,0.32529868649467586,0.4094500236763942,1.0398716358067839,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,-1.0,0.49852337179477946,0.7544780618069507,1.4184045894463855,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,-1.0,0.24219531549845796,0.12570783450532613,1.007035820870268,-0.0017958403424203505,-0.0024084240558258753,3,7
initial_phase_offset,0,1.0,0.5180821458577365,0.7100503685534841,1.4754461787528397,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,1.0,0.6323495765022756,0.9295465815696061,1.6300151666532119,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,1.0,0.394864307219347,0.4094500236762276,1.4625188286196755,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,1.0,0.5403443044764683,0.7544780618069853,1.4184045894465127,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,1.0,0.30181492338458205,0.12570783450534695,1.2466473073875544,-0.0017958403424203505,-0.0024084240558258753,3,7
initial_phase_offset,0,2.0,0.7004256658355439,0.7100503685535046,2.475446178753083,-0.001034725162044886,-0.002032890927953124,3,7
initial_phase_offset,1,2.0,0.7892394348200643,0.9295465815695704,2.318388783860801,-0.0008716912395635918,-0.0012376497053768391,3,7
initial_phase_offset,2,2.0,0.6172327731674243,0.40945002367636124,2.462518828619944,-0.0013196492040176042,-0.0021932279667509005,3,7
initial_phase_offset,3,2.0,0.7167316708196402,0.7544780618069936,2.3500138315577077,-0.0014014824646498046,-0.002340728299567945,3,7
initial_phase_offset,4,2.0,0.5543629002918903,0.1257078345053558,2.2466473073877973,-0.0017958403424203505,-0.0024084240558258753,3,7
time_varying_rate_bias,0,0.002,0.23207935147976716,0.36907472093197846,0.8740531944891046,-0.001530641315076222,-0.0019368380910024154,3,7
time_varying_rate_bias,1,0.002,0.3420354824937687,0.5545823520398736,1.2185348908187423,-0.0014059817167030215,-0.001168989630186785,3,7
time_varying_rate_bias,2,0.002,0.11669015835719296,0.14854782005442801,0.5528831786974462,-0.0018491455957380428,-0.0021128846944021493,3,7
time_varying_rate_bias,3,0.002,0.28278487157747006,0.44422467218428235,1.1079756751604282,-0.0018730874403354158,-0.0022517939446617613,3,7
time_varying_rate_bias,4,0.002,0.28112802712549456,0.475656685048502,0.8794630481476795,-0.0022364762140867156,-0.0022791320195929563,3,7
insufficient_pre_outage_baseline,0,60.0,0.6967255573315112,1.1866021888802416,1.711124208658801,2.2203121441185896e-17,-0.0023012108463807877,0,8
insufficient_pre_outage_baseline,1,60.0,0.49178971910059477,0.8215046223216235,1.2817951487114603,2.2203121441185896e-17,-0.0015070112052325995,0,8
insufficient_pre_outage_baseline,2,60.0,0.6513913798628319,1.105382584420298,1.6866791666212395,2.2203121441185896e-17,-0.0021234575955049874,0,8
insufficient_pre_outage_baseline,3,60.0,0.7680513475385592,1.3016796034673204,2.1999905867696445,2.2203121441185896e-17,-0.002455291399166163,0,8
insufficient_pre_outage_baseline,4,60.0,0.8582410536449083,1.453920163610726,2.531805388877091,2.2203121441185896e-17,-0.0021366291220594343,0,8
