case,seed,parameter,rmse_deg,outage_rmse_deg,maximum_abs_error_deg,pre_outage_rate_bias_deg_s,final_rate_bias_deg_s,pre_outage_bias_observation_count,final_bias_observation_count
initial_phase_offset,0,-2.0,0.6984378839460366,0.8644053333328652,2.0000000000000284,-0.0005999944472548488,-0.0013344242989195415,3,7
initial_phase_offset,1,-2.0,0.7905206544570946,1.0631873645523775,2.0000000000000284,-0.0004947393509101193,-0.0008704517761666961,3,7
initial_phase_offset,4,-2.0,0.5272349425293843,0.33478892985702235,2.007035820870282,-0.000988723899907362,-0.0015982445560997428,3,7
initial_phase_offset,0,2.0,0.759293777210613,0.8644053333328946,2.475446178753083,-0.0005999944472548488,-0.0013344242989195415,3,7
initial_phase_offset,1,2.0,0.8467693125412903,1.06318736455247,2.318388783860801,-0.0004947393509101193,-0.0008704517761666961,3,7
initial_phase_offset,4,2.0,0.5855290723820213,0.33478892985701864,2.2466473073877973,-0.000988723899907362,-0.0015982445560997428,3,7
time_varying_rate_bias,0,0.002,0.3462037610692825,0.5669386087635384,1.2588798451543868,-0.0008798488110624365,-0.0013729165964551612,3,7
time_varying_rate_bias,1,0.002,0.4561508053034357,0.751406525654686,1.572196053522283,-0.0007996916214618627,-0.0009295668994463845,3,7
time_varying_rate_bias,4,0.002,0.1801601336447123,0.28653415941436977,0.6804251474743153,-0.0012301129713385153,-0.001615355183329469,3,7
insufficient_pre_outage_baseline,0,60.0,0.6978365530672997,1.1866021888802416,1.711124208658801,2.2203121441185896e-17,-0.0015765864616003244,0,8
insufficient_pre_outage_baseline,1,60.0,0.4932520237818736,0.8215046223216235,1.2817951487114603,2.2203121441185896e-17,-0.0012018200756911234,0,8
insufficient_pre_outage_baseline,4,60.0,0.858822874951971,1.453920163610726,2.531805388877091,2.2203121441185896e-17,-0.0014044236726527346,0,8
