group,value,phase_rate_deg_s,sample_dt_s,internal_dt_s,num_neurons,cue_interval_s,cue_gain,mean_error_deg,rmse_deg,error_std_deg,error_peak_to_peak_deg,equivalent_delay_s,mean_concentration,mean_width_rad
phase_rate,-1,-1.0,2.0,0.001,180,,0.25,3.976452613842955e-07,4.0205133863726403e-07,5.935928738311516e-08,1.8134560993969298e-07,3.976452613842955e-07,0.796170672014745,0.6751913862630554
phase_rate,-0.2,-0.2,2.0,0.001,180,,0.25,4.733994837874565e-08,4.734233067399026e-08,4.749327774921223e-10,1.4509436012462047e-09,2.3669974189372821e-07,0.7961706627600971,0.6751914034788404
phase_rate,-0.0607,-0.0607,2.0,0.001,180,,0.25,1.3998266805721274e-08,1.3998273159811847e-08,1.3337636621454807e-11,4.073654436018472e-11,2.3061395067086122e-07,0.796170662410006,0.6751914041300907
phase_rate,0.0607,0.0607,2.0,0.001,180,,0.25,-1.3997818347511189e-08,1.399782455649382e-08,1.3184250472274448e-11,4.027854448605398e-11,2.3060656256196358e-07,0.7961706624100062,0.6751914041300906
phase_rate,0.2,0.2,2.0,0.001,180,,0.25,-4.733949673998088e-08,4.734187756815844e-08,4.747842497842713e-10,1.450485601372074e-09,2.3669748369990438e-07,0.796170662760097,0.6751914034788407
phase_rate,1,1.0,2.0,0.001,180,,0.25,-3.976448320094135e-07,4.0205089070702293e-07,5.935912983287238e-08,1.8134515193981885e-07,3.976448320094135e-07,0.796170672014745,0.6751913862630556
sample_dt,0.5,0.0607,0.5,0.001,180,,0.25,-1.3996372734109193e-08,1.3996378648075421e-08,1.2866553008263218e-11,4.315376591809699e-11,2.3058274685517616e-07,0.7961706624100062,0.6751914041300902
sample_dt,1,0.0607,1.0,0.001,180,,0.25,-1.3996372785408463e-08,1.3996379066740957e-08,1.3260157684877303e-11,4.315376591809699e-11,2.3058274770030419e-07,0.7961706624100062,0.6751914041300905
sample_dt,2,0.0607,2.0,0.001,180,,0.25,-1.3997818347511189e-08,1.399782455649382e-08,1.3184250472274448e-11,4.027854448605398e-11,2.3060656256196358e-07,0.7961706624100062,0.6751914041300906
sample_dt,5,0.0607,5.0,0.001,180,,0.25,-1.3996380736795166e-08,1.399638997543179e-08,1.6081512264497998e-11,4.315376591809699e-11,2.305828786951428e-07,0.796170662410006,0.6751914041300907
internal_dt,0.002,0.0607,2.0,0.002,180,,0.25,-1.165788744891316e-08,1.1657915468954886e-08,2.5559925090830033e-11,7.808897853929227e-11,1.920574538535941e-07,0.7961706624455256,0.6751914040640161
internal_dt,0.001,0.0607,2.0,0.001,180,,0.25,-1.3997818347511189e-08,1.399782455649382e-08,1.3184250472274448e-11,4.027854448605398e-11,2.3060656256196358e-07,0.7961706624100062,0.6751914041300906
internal_dt,0.0005,0.0607,2.0,0.0005,180,,0.25,-1.5260997903137193e-08,1.526099935492016e-08,6.6566745217826955e-12,2.0330105523914798e-11,2.514167694091795e-07,0.7961706623922462,0.675191404163128
num_neurons,90,0.0607,2.0,0.001,90,,0.25,-2.5604790522917074e-07,2.5931769868509797e-07,4.1050445540686415e-08,1.2139940585877942e-07,4.2182521454558616e-06,0.7961706624205274,0.6751914041105186
num_neurons,180,0.0607,2.0,0.001,180,,0.25,-1.3997818347511189e-08,1.399782455649382e-08,1.3184250472274448e-11,4.027854448605398e-11,2.3060656256196358e-07,0.7961706624100062,0.6751914041300906
num_neurons,360,0.0607,2.0,0.001,360,,0.25,-1.3997430319840049e-08,1.3997436411884381e-08,1.305932498836708e-11,3.9896877924278355e-11,2.3060017001383938e-07,0.7961706624100062,0.6751914041300905
cue_interval,2,0.0607,2.0,0.001,180,2.0,0.25,-3.2857033103439517e-07,3.2857034944725826e-07,1.0999927908561053e-10,3.0965880378728797e-10,5.41302028063254e-06,0.9417592452486719,0.3464263712933874
cue_interval,10,0.0607,2.0,0.001,180,10.0,0.25,-0.00018198128659032727,0.0002572974565712543,0.0001818922551648796,0.0003638733313962914,0.0029980442601371875,0.8325678081196712,0.5930001459209187
cue_interval,20,0.0607,2.0,0.001,180,20.0,0.25,-1.2232298804940153e-08,1.3091128009766454e-08,4.6635285476505364e-09,1.4118405897704196e-08,2.0152057339275378e-07,0.8143692352648348,0.634095775025517
cue_gain,0.1,0.0607,2.0,0.001,180,10.0,0.1,-0.00010517706980432692,0.00014786751715702064,0.00010393549257860636,0.00020910108259449592,0.001732735911109175,0.8194918022191524,0.6274029092345631
cue_gain,0.25,0.0607,2.0,0.001,180,10.0,0.25,-0.00018198128659032727,0.0002572974565712543,0.0001818922551648796,0.0003638733313962914,0.0029980442601371875,0.8325678081196712,0.5930001459209187
cue_gain,0.5,0.0607,2.0,0.001,180,10.0,0.5,-0.00025535151167834793,0.00036112051519892897,0.0002553500185649542,0.0005108111542453955,0.004206779434569159,0.8391632128629009,0.5700112406956634
