phase_rate_bias_deg_per_hour,maximum_anchor_gain,anchor_interval_seconds,phase_rmse_deg,maximum_phase_error_deg,cue_count
2.0,0.05,10.0,0.017403807110120555,0.02840194966890791,18
2.0,0.05,20.0,0.01848114174726905,0.030421305965272684,9
2.0,0.05,40.0,0.019044199771857947,0.03227681110199165,3
2.0,0.15,10.0,0.014115791369140152,0.021457837453644255,18
2.0,0.15,20.0,0.016624349403610385,0.026420435554765986,9
2.0,0.15,40.0,0.01808158368999268,0.030455033904729,3
2.0,0.25,10.0,0.011799715424531038,0.017664453641265974,18
2.0,0.25,20.0,0.015140735400078044,0.02431345201397304,9
2.0,0.25,40.0,0.01726620638036684,0.02888598860259206,3
2.0,0.4,10.0,0.009420838978791939,0.013830505812418539,18
2.0,0.4,20.0,0.01341057387328007,0.021801896991629405,9
2.0,0.4,40.0,0.016255858162359353,0.026900796690506105,3
10.0,0.05,10.0,0.08740280000570794,0.14244988601524014,18
10.0,0.05,20.0,0.09268444891097044,0.15236316810208145,9
10.0,0.05,40.0,0.09544846352430894,0.16158010560347713,3
10.0,0.15,10.0,0.07123426371616082,0.10827253423792771,18
10.0,0.15,20.0,0.08354295495430179,0.1326615971633953,9
10.0,0.15,40.0,0.09069262061776172,0.15260487808555914,3
10.0,0.25,10.0,0.059835944063003334,0.08962762935988626,18
10.0,0.25,20.0,0.07624377606376871,0.12234352660071872,9
10.0,0.25,40.0,0.08666721322657923,0.1448834865493081,3
10.0,0.4,10.0,0.04811313945451094,0.07075897593286423,18
10.0,0.4,20.0,0.06773467882929443,0.1100506519681769,9
10.0,0.4,40.0,0.08168285930705681,0.13512662232415412,3
