information_id,timestamp,observer_id,target_id,modality,navigation_discrepancy,navigation_quality,frontend_quality,shadow_quality,feedback_quality,valid
sat_p01_s01->sat_p02_s01:infrared:0,0.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0,1.0,0.6717504204892415,0.6717504204892415,1.0,True
sat_p01_s01->sat_p02_s01:infrared:1,2.0,sat_p01_s01,sat_p02_s01,INFRARED,3.734098549576694e-05,0.9834714531359662,0.6047163555004069,0.5947212728790707,0.6717504204892415,True
sat_p01_s01->sat_p02_s01:infrared:2,4.0,sat_p01_s01,sat_p02_s01,INFRARED,8.333484629923678e-05,0.9999999965276517,0.572912152111147,0.5729121501217964,0.5947212728790707,True
sat_p01_s01->sat_p02_s01:infrared:3,6.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0009907705195684872,0.9834709711210519,0.5927080332366341,0.5829111450384813,0.5729121501217964,True
sat_p01_s01->sat_p02_s01:infrared:4,8.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0009909385640073302,0.9999995090205017,0.6413522575903168,0.6413519426995071,0.5829111450384813,True
sat_p01_s01->sat_p02_s01:infrared:5,10.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0018727584857502564,0.9834697291956165,0.6638007981157069,0.6528279911626884,0.6413519426995071,True
sat_p01_s01->sat_p02_s01:infrared:6,12.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0018497051765776263,0.9999982892968431,0.5954731505391513,0.5954721318613528,0.6528279911626884,True
sat_p01_s01->sat_p02_s01:infrared:7,14.0,sat_p01_s01,sat_p02_s01,INFRARED,0.002540591577216662,0.983468279866581,0.6356168949274379,0.6251090543084247,0.5954721318613528,True
sat_p01_s01->sat_p02_s01:infrared:8,16.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0024941938231871504,0.9999968895034238,0.603776684597006,0.6037748065516957,0.6251090543084247,True
sat_p01_s01->sat_p02_s01:infrared:9,18.0,sat_p01_s01,sat_p02_s01,INFRARED,0.0030334296534036157,0.9834669290296196,0.5867031831911602,0.5770031778249127,0.6037748065516957,True
sat_p01_s01->sat_p02_s01:infrared:10,20.0,sat_p01_s01,sat_p02_s01,INFRARED,0.003045247171352747,0.9999953632455825,0.6349033107808102,0.6349003668900792,0.5770031778249127,True
sat_p01_s01->sat_p02_s01:optical:0,0.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0,1.0,0.5918838152144762,0.5918838152144762,1.0,True
sat_p01_s01->sat_p02_s01:optical:1,2.0,sat_p01_s01,sat_p02_s01,OPTICAL,3.734098549576694e-05,0.9834714531359662,0.6089169752209517,0.5988524624597065,0.5918838152144762,True
sat_p01_s01->sat_p02_s01:optical:2,4.0,sat_p01_s01,sat_p02_s01,OPTICAL,8.333484629923678e-05,0.9999999965276517,0.5828379613851965,0.58283795936138,0.5988524624597065,True
sat_p01_s01->sat_p02_s01:optical:3,6.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0009907705195684872,0.9834709711210519,0.6153446407454168,0.6051735914080298,0.58283795936138,True
sat_p01_s01->sat_p02_s01:optical:4,8.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0009909385640073302,0.9999995090205017,0.628041906361785,0.628041598006085,0.6051735914080298,True
sat_p01_s01->sat_p02_s01:optical:5,10.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0018727584857502564,0.9834697291956165,0.6514238899865027,0.6406556766765809,0.628041598006085,True
sat_p01_s01->sat_p02_s01:optical:6,12.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0018497051765776263,0.9999982892968431,0.5912663309566818,0.5912653194755029,0.6406556766765809,True
sat_p01_s01->sat_p02_s01:optical:7,14.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.002540591577216662,0.983468279866581,0.6203475040241704,0.6100920927021778,0.5912653194755029,True
sat_p01_s01->sat_p02_s01:optical:8,16.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0024941938231871504,0.9999968895034238,0.6350284505407497,0.6350264752869286,0.6100920927021778,True
sat_p01_s01->sat_p02_s01:optical:9,18.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.0030334296534036157,0.9834669290296196,0.6392581876136862,0.6286892866294724,0.6350264752869286,True
sat_p01_s01->sat_p02_s01:optical:10,20.0,sat_p01_s01,sat_p02_s01,OPTICAL,0.003045247171352747,0.9999953632455825,0.6405883726735985,0.6405854024226316,0.6286892866294724,True
sat_p01_s01->sat_p02_s01:radar:0,0.0,sat_p01_s01,sat_p02_s01,RADAR,0.0,1.0,0.631361734278375,0.631361734278375,1.0,True
sat_p01_s01->sat_p02_s01:radar:1,2.0,sat_p01_s01,sat_p02_s01,RADAR,0.001345298517916308,0.9834705638648827,0.6923610060056049,0.6809166689743897,0.631361734278375,True
sat_p01_s01->sat_p02_s01:radar:2,4.0,sat_p01_s01,sat_p02_s01,RADAR,0.197447159858515,0.9806960635916313,0.7087927377175103,0.6951102477818979,0.6809166689743897,True
sat_p01_s01->sat_p02_s01:radar:3,6.0,sat_p01_s01,sat_p02_s01,RADAR,0.1692798448876278,0.9694809055851598,0.673997353637833,0.6534275647668075,0.6951102477818979,True
sat_p01_s01->sat_p02_s01:radar:4,8.0,sat_p01_s01,sat_p02_s01,RADAR,0.17129146225805,0.9854367032378255,0.5740155636568394,0.5656560046571979,0.6534275647668075,True
sat_p01_s01->sat_p02_s01:radar:5,10.0,sat_p01_s01,sat_p02_s01,RADAR,0.15379722150741074,0.9719086510509726,0.6771235426102951,0.6581022288932277,0.5656560046571979,True
sat_p01_s01->sat_p02_s01:radar:6,12.0,sat_p01_s01,sat_p02_s01,RADAR,0.15611265690311404,0.9878883627142578,0.6292125187823469,0.6215917249792069,0.6581022288932277,True
sat_p01_s01->sat_p02_s01:radar:7,14.0,sat_p01_s01,sat_p02_s01,RADAR,0.11724260315550837,0.9767353140714531,0.6382847488768042,0.6234352546612039,0.6215917249792069,True
sat_p01_s01->sat_p02_s01:radar:8,16.0,sat_p01_s01,sat_p02_s01,RADAR,0.13630956890455048,0.9907528708252566,0.6524781052287538,0.6464445559060118,0.6234352546612039,True
sat_p01_s01->sat_p02_s01:radar:9,18.0,sat_p01_s01,sat_p02_s01,RADAR,0.1054235956371294,0.9780213940056321,0.5953679105938634,0.5822825538652309,0.6464445559060118,True
sat_p01_s01->sat_p02_s01:radar:10,20.0,sat_p01_s01,sat_p02_s01,RADAR,0.12380178221915725,0.9923658486542242,0.6613873778691961,0.6563382465283568,0.5822825538652309,True
sat_p01_s01->sat_p10_s02:infrared:0,0.0,sat_p01_s01,sat_p10_s02,INFRARED,0.0,1.0,0.5928499831910867,0.5928499831910867,1.0,True
