missing_modality,outage_duration_seconds,ci_objective,reset_feedback,run_count,mean_position_rmse_increase_percent,worst_position_rmse_increase_percent,threshold_met
opt,10.0,trace,True,3,-4.051357710085688,-2.713639547733009,True
ir,10.0,trace,True,3,2.475171667088303e-05,0.0002447756115106642,True
rad,10.0,trace,True,3,1.8390401760633062,2.5082864147088855,True
opt,20.0,trace,True,3,-2.10639892525164,0.9964302879709146,True
ir,20.0,trace,True,3,-2.4810720781521367e-05,0.00018477912000031493,True
rad,20.0,trace,True,3,7.245267183096971,10.73815420051524,True
opt,40.0,trace,True,3,3.1338328179352275,13.348347675750391,True
ir,40.0,trace,True,3,-0.00011044652450921412,5.136916830384753e-05,True
rad,40.0,trace,True,3,-2.963151045641391,-0.9598199882703805,True
opt,60.0,trace,True,3,8.502586442074412,20.797765319829256,True
ir,60.0,trace,True,3,-0.00017707420880838374,-7.15814390823685e-05,True
rad,60.0,trace,True,3,3.5476247037199395,12.6425294180018,True
opt,10.0,trace,False,3,4.721357020064199,5.433242133818101,True
ir,10.0,trace,False,3,-1.3061088111582168e-11,0.0,True
rad,10.0,trace,False,3,23.708888752567493,45.48371807535101,False
opt,20.0,trace,False,3,9.044396845718085,9.491707219156224,True
ir,20.0,trace,False,3,-2.650437541822584e-11,-1.0183634087213477e-11,True
rad,20.0,trace,False,3,46.134798203842394,99.42055906441689,False
opt,40.0,trace,False,3,17.02746500282672,23.86569200936491,True
ir,40.0,trace,False,3,-3.9681830409581655e-11,3.5838299032749944e-11,True
rad,40.0,trace,False,3,65.6783139309747,152.33681817870308,False
opt,60.0,trace,False,3,33.099145022752815,56.55474306939644,False
ir,60.0,trace,False,3,-2.283320031453293e-11,3.644527060086201e-11,True
rad,60.0,trace,False,3,82.5223827480328,173.85171005545072,False
opt,10.0,logdet,True,3,-0.897958102959985,0.49904229580123466,True
ir,10.0,logdet,True,3,2.5989372449202255e-05,0.00014439893195082053,True
rad,10.0,logdet,True,3,3.5109343374211996,4.538191864625473,True
opt,20.0,logdet,True,3,-0.761090689699591,2.143575338902439,True
ir,20.0,logdet,True,3,0.00011329001355800693,0.00020561988312166652,True
rad,20.0,logdet,True,3,8.112625153738623,11.7039427548416,True
opt,40.0,logdet,True,3,3.8286031582220104,7.890545392450762,True
ir,40.0,logdet,True,3,7.214729724509036e-05,0.00010677458533134868,True
rad,40.0,logdet,True,3,-1.5335697009338183,0.13397147788646874,True
opt,60.0,logdet,True,3,3.1684330747568166,6.469158945842583,True
ir,60.0,logdet,True,3,0.00017525871670865138,0.0003627443946144113,True
rad,60.0,logdet,True,3,5.4595044332708484,15.915076183944622,True
opt,10.0,logdet,False,3,5.440355527409987,5.957757968520635,True
ir,10.0,logdet,False,3,2.7376352106406645e-12,8.212905631921994e-12,True
rad,10.0,logdet,False,3,23.991689258125387,45.61096652363318,False
opt,20.0,logdet,False,3,10.43319379883543,10.53805845305465,True
ir,20.0,logdet,False,3,8.642517835261263e-12,2.592755350578379e-11,True
rad,20.0,logdet,False,3,46.57427270857351,99.67795187258697,False
opt,40.0,logdet,False,3,19.06797231030609,27.173260449049483,True
ir,40.0,logdet,False,3,4.489814343822475e-11,1.1351089241597728e-10,True
rad,40.0,logdet,False,3,66.28415659873644,152.77356915404786,False
opt,60.0,logdet,False,3,35.89772184898839,60.97600181171892,False
ir,60.0,logdet,False,3,2.7519434567923916e-11,4.921801644415995e-11,True
rad,60.0,logdet,False,3,83.38155786344883,174.32365447715418,False
