missing_modality,outage_duration_seconds,ci_objective,reset_feedback,run_count,mean_position_rmse_increase_percent,worst_position_rmse_increase_percent,threshold_met
opt,120.0,trace,True,3,91.70435942826121,166.6109759285618,False
ir,120.0,trace,True,3,-0.0002982650132131982,-6.539058905017036e-05,True
rad,120.0,trace,True,3,111.52463944334545,212.35084181098514,False
opt,120.0,trace,False,3,86.92061053755822,159.7778804921596,False
ir,120.0,trace,False,3,-6.062553481590424e-11,-1.4958477089695028e-11,True
rad,120.0,trace,False,3,112.87659977112655,211.1398493241279,False
opt,120.0,logdet,True,3,139.3767570153149,245.13904483522919,False
ir,120.0,logdet,True,3,0.00045934119092006886,0.0009224647425373739,True
rad,120.0,logdet,True,3,116.40032732016523,212.95158034000622,False
opt,120.0,logdet,False,3,88.57513593990792,168.16268555112165,False
ir,120.0,logdet,False,3,1.4006331652235925e-11,7.65679082167231e-11,True
rad,120.0,logdet,False,3,114.90801813660268,211.7653644596776,False
