infrared_noise_scale,modalities,measurement_dimension_per_epoch,instantaneous_rank_min,instantaneous_rank_max,horizon_rank,horizon_smallest_singular_value,horizon_largest_singular_value,horizon_condition_number,horizon_log_pseudo_determinant
0.05,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.05,ir,2,2,2,6,0.008885846834240964,2057.1981347887554,231514.0214730567,39.54278384471504
0.05,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.05,opt+ir,4,2,3,6,0.009924182704342307,2154.0726204578414,217052.89842309445,40.80541546466602
0.05,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.05,ir+rad,4,4,4,6,58.741954768653486,2061.8861130898895,35.100740539029104,68.03870580162724
0.05,opt+ir+rad,6,4,4,6,70.07897160434882,2158.5656742000288,30.801902835943967,68.94520987566901
0.1,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.1,ir,2,2,2,6,0.004442923417120482,1028.5990673943777,231514.0214730567,31.22501767799571
0.1,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.1,opt+ir,4,2,3,6,0.006204609286110967,1383.6176629320496,222998.35479234462,35.01302816553692
0.1,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.1,ir+rad,4,4,4,6,29.6747308478434,1038.1815942484056,34.98537525316274,62.56052626833244
0.1,opt+ir+rad,6,4,4,6,42.7541509453736,1385.1680221368015,32.39844533239853,65.2021872164857
0.125,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.125,ir,2,2,2,6,0.0035543387336955984,822.8792539155021,231514.02147310795,28.547295062224734
0.125,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.125,opt+ir,4,2,3,6,0.005572106285155784,1289.7651660665376,231468.15585741805,33.652613447869676
0.125,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.125,ir+rad,4,4,4,6,23.83642418860104,835.0495083783633,35.032499076673474,60.822913621664426
0.125,opt+ir+rad,6,4,4,6,37.193598521604315,1291.4138064749159,34.72139985930062,64.33724311828169
0.2,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.2,ir,2,2,2,6,0.002221461708560241,514.2995336971888,231514.0214730567,22.907251511276357
0.2,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.2,opt+ir,4,2,3,6,0.004758245644019375,1179.695948521198,247926.65969314857,31.6286792308103
0.2,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.2,ir+rad,4,4,4,6,15.04716562902062,535.0659107146189,35.559249090916325,57.24622010158128
0.2,opt+ir+rad,6,4,4,6,29.937503772017983,1181.490576031043,39.46523347532268,63.063058753617064
0.25,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.25,ir,2,2,2,6,0.0017771693668477992,411.43962695775105,231514.02147310795,20.229528895505386
0.25,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.25,opt+ir,4,2,3,6,0.004537780570148844,1152.8039284471924,254045.76325941193,31.017633988834962
0.25,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.25,ir+rad,4,4,4,6,12.0928181510789,438.79351849235525,36.28546406721637,55.60485610681923
0.25,opt+ir+rad,6,4,4,6,27.98177024276468,1154.63958243759,41.26399339356123,62.68184994344536
0.5,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.5,ir,2,2,2,6,0.0008885846834238996,205.71981347887552,231514.02147310795,11.911762728786037
0.5,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.5,opt+ir,4,2,3,6,0.0042105351053056414,1115.9403307465616,265035.27528849704,30.057008856777465
0.5,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.5,ir+rad,4,4,4,6,6.103004650977693,273.6728478994001,44.842313507914184,50.80923975018821
0.5,opt+ir+rad,6,4,4,6,25.127125562629118,1117.8360225984027,44.487222376957014,62.08660884320294
1.0,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
1.0,ir,2,2,2,6,0.0004442923417119498,102.85990673943776,231514.02147310795,3.593996562066696
1.0,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
1.0,opt+ir,4,2,2,6,0.004120585100964711,1106.53256780022,268537.7296396958,29.781749157436884
1.0,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
1.0,ir+rad,4,4,4,6,3.061297166667183,260.16479598286213,84.98514904585434,46.398608309206075
1.0,opt+ir+rad,6,4,4,6,24.358886655990496,1108.4443250853094,45.504720340439434,61.91710915621629
