profile,focal_length_pixels,peak_snr,field_position,monte_carlo_sample_count,detection_fraction,azimuth_bias_deg,elevation_bias_deg,angular_rmse_deg,covariance_az_az_rad2,covariance_az_el_rad2,covariance_el_el_rad2,angular_target_deg,angular_target_met
simplified_baseline,300.0,100.0,center,500,1.0,-0.0001821934308476295,0.00026656067303179213,0.008310338145197068,1.1261558694676319e-08,7.247919356449247e-10,9.786183696027392e-09,0.00625,False
simplified_baseline,300.0,100.0,off_axis,500,1.0,-2.0671178949228275e-05,0.0003129892439373582,0.007691052914458226,8.522470491407388e-09,-1.6732096800147224e-10,9.502427586440416e-09,0.00625,False
simplified_baseline,300.0,1000.0,center,500,1.0,1.3847192885693984e-05,1.4194918062213045e-05,0.0008348867396478054,9.870341189794625e-11,9.810710222684705e-12,1.1393133733045068e-10,0.00625,True
simplified_baseline,300.0,1000.0,off_axis,500,1.0,3.497951095397132e-05,-2.430362836294372e-05,0.0008440534270836905,1.0729882548500816e-10,-1.071616145926555e-11,1.0959975194267602e-10,0.00625,True
simplified_baseline,600.0,100.0,center,500,1.0,0.00010268242119224164,-8.743790647259048e-05,0.003915646216135092,2.2701443529721244e-09,2.3204068500689403e-12,2.4041447029012985e-09,0.00625,True
simplified_baseline,600.0,100.0,off_axis,500,1.0,0.0001829524978913319,0.0001935554617570182,0.003976523213728335,2.271468845879005e-09,-5.795185091076268e-11,2.5333677941099157e-09,0.00625,True
simplified_baseline,600.0,1000.0,center,500,1.0,-1.2906562343627249e-05,-1.0663393545455397e-06,0.000429335696124546,2.7723114098008233e-11,-5.806000253387011e-13,2.84880859637769e-11,0.00625,True
simplified_baseline,600.0,1000.0,off_axis,500,1.0,-9.73699650771708e-06,9.414009986787605e-06,0.00041797369533247517,2.8187937338888497e-11,4.850608991704622e-13,2.5079997253751092e-11,0.00625,True
photon_only,300.0,100.0,center,500,1.0,-0.00019759964786014215,0.00022535446467350878,0.0271120363701097,1.1026009651511258e-07,-2.795002755625248e-09,1.14074054973902e-07,0.00625,False
photon_only,300.0,100.0,off_axis,500,1.0,-0.0006642538457217185,-0.00041320888437856266,0.02910843863713883,1.2632524183231502e-07,-4.168957159627577e-09,1.321079115974088e-07,0.00625,False
photon_only,300.0,1000.0,center,500,1.0,-0.00016640634235979545,0.00010803385751681687,0.004510756333337777,3.1177067642891127e-09,2.0265545472505847e-11,3.0807267275862304e-09,0.00625,True
photon_only,300.0,1000.0,off_axis,500,1.0,-0.0001227085628615476,-0.00028011272792677144,0.004486032126648053,2.9990331804081733e-09,2.675475815549087e-11,3.1149753176390422e-09,0.00625,True
photon_only,600.0,100.0,center,500,1.0,-0.0003741581748288021,0.0006028376256926601,0.013435695791671498,2.9218716552951063e-08,-1.4763788738458619e-09,2.5726731079601714e-08,0.00625,False
