extent_fractional_sigma,modalities,measurement_dimension_per_epoch,instantaneous_rank_min,instantaneous_rank_max,horizon_rank,horizon_smallest_singular_value,horizon_condition_number,horizon_log_pseudo_determinant
0.01,ir,2,2,2,6,0.0004442923417119498,231514.02147310795,3.593996562066696
0.01,ir_extent,3,3,3,6,0.27774479290563175,370.34054302574646,24.233013865387893
0.01,ir+rad,4,4,4,6,3.061297166667183,84.98514904585434,46.398608309206075
0.01,ir_extent+rad,5,4,4,6,3.061297168573741,85.01840307341713,46.3993957046443
0.01,opt+ir_extent,5,3,3,6,0.8389115235006077,1319.0098619385024,44.13552277026858
0.01,opt+ir_extent+rad,7,4,4,6,24.35895245742818,45.50459764089479,61.91789613981043
0.05,ir,2,2,2,6,0.0004442923417119498,231514.02147310795,3.593996562066696
0.05,ir_extent,3,3,3,6,0.1176829943347333,874.0423146805567,19.297143408089106
0.05,ir+rad,4,4,4,6,3.061297166667183,84.98514904585434,46.398608309206075
0.05,ir_extent+rad,5,4,4,6,3.0612971667434468,84.9864794560137,46.398639816834276
0.05,opt+ir_extent,5,3,3,6,0.7789855103757205,1420.479011819044,40.82253440918912
0.05,opt+ir_extent+rad,7,4,4,6,24.358889290013845,45.50471542877255,61.91714064737039
0.1,ir,2,2,2,6,0.0004442923417119498,231514.02147310795,3.593996562066696
0.1,ir_extent,3,3,3,6,0.10888395664666467,944.6746096863643,17.75683310829072
0.1,ir+rad,4,4,4,6,3.061297166667183,84.98514904585434,46.398608309206075
0.1,ir_extent+rad,5,4,4,6,3.0612971666862525,84.98548165034052,46.39861618620546
0.1,opt+ir_extent,5,3,3,6,0.506373077797979,2185.2120824867147,39.433199195674476
0.1,opt+ir_extent+rad,7,4,4,6,24.358887314511698,45.50471911249389,61.91711702909713
0.2,ir,2,2,2,6,0.0004442923417119498,231514.02147310795,3.593996562066696
0.2,ir_extent,3,3,3,6,0.10624129612517658,968.1725573543408,16.32802221921666
0.2,ir+rad,4,4,4,6,3.061297166667183,84.98514904585434,46.398608309206075
0.2,ir_extent+rad,5,4,4,6,3.061297166671955,84.98523219709737,46.398610278461696
0.2,opt+ir_extent,5,3,3,6,0.25614323527227134,4319.975761360599,38.04632423027572
0.2,opt+ir_extent+rad,7,4,4,6,24.358886820621755,45.50472003345125,61.91711112444226
0.3,ir,2,2,2,6,0.0004442923417119498,231514.02147310795,3.593996562066696
0.3,ir_extent,3,3,3,6,0.104957169623954,980.0179195619436,15.509019581512137
0.3,ir+rad,4,4,4,6,3.061297166667183,84.98514904585434,46.398608309206075
0.3,ir_extent+rad,5,4,4,6,3.0612971666693047,84.9851860019723,46.39860918443127
0.3,opt+ir_extent,5,3,3,6,0.17102920086275428,6469.845863886858,37.23557253460532
0.3,opt+ir_extent+rad,7,4,4,6,24.35888672916003,45.50472020400009,61.917110030983864
