focal_length_pixels,psf_sigma_pixels,peak_snr,monte_carlo_sample_count,detection_fraction,centroid_rmse_pixels,angular_rmse_deg,angular_target_deg,angular_target_met,fixed_boresight_fov_coverage_fraction,coverage_target_met,jointly_feasible
300.0,0.8,20.0,200,1.0,0.22120541188574416,0.04224705433290549,0.00625,False,1.0,True,False
300.0,0.8,100.0,200,1.0,0.05492944013182889,0.010490737989823945,0.00625,False,1.0,True,False
300.0,0.8,1000.0,200,1.0,0.006378558632286501,0.001218213694614095,0.00625,True,1.0,True,True
300.0,1.2,20.0,200,1.0,0.1674673065775797,0.031983851302522626,0.00625,False,1.0,True,False
300.0,1.2,100.0,200,1.0,0.03990946435865158,0.007622139284565785,0.00625,False,1.0,True,False
300.0,1.2,1000.0,200,1.0,0.004541240281436583,0.0008673121793364341,0.00625,True,1.0,True,True
600.0,0.8,20.0,200,1.0,0.2232859763229054,0.021322231460166347,0.00625,False,1.0,True,False
600.0,0.8,100.0,200,1.0,0.05511652437715404,0.005263238857102986,0.00625,True,1.0,True,True
600.0,0.8,1000.0,200,1.0,0.0060798731275581415,0.0005805849732930031,0.00625,True,1.0,True,True
600.0,1.2,20.0,200,1.0,0.16284051050828094,0.015550117943629637,0.00625,False,1.0,True,False
600.0,1.2,100.0,200,1.0,0.04048687003594704,0.003866210157845686,0.00625,True,1.0,True,True
600.0,1.2,1000.0,200,1.0,0.004500984689297405,0.0004298122581721269,0.00625,True,1.0,True,True
1200.0,0.8,20.0,200,1.0,0.2294233124703344,0.01095415513276028,0.00625,False,1.0,True,False
1200.0,0.8,100.0,200,1.0,0.059433610065198435,0.0028377456836579185,0.00625,True,1.0,True,True
1200.0,0.8,1000.0,200,1.0,0.006578894751724167,0.0003141190650002449,0.00625,True,1.0,True,True
1200.0,1.2,20.0,200,1.0,0.17361595157752316,0.008289550369422303,0.00625,False,1.0,True,False
1200.0,1.2,100.0,200,1.0,0.03847603008610565,0.0018370949836685635,0.00625,True,1.0,True,True
1200.0,1.2,1000.0,200,1.0,0.004236641807201451,0.000202284730004669,0.00625,True,1.0,True,True
2400.0,0.8,20.0,200,1.0,0.22977111965016825,0.0054853812741495,0.00625,True,1.0,True,True
2400.0,0.8,100.0,200,1.0,0.05683179254061074,0.0013567590846702514,0.00625,True,1.0,True,True
2400.0,0.8,1000.0,200,1.0,0.006241783585704869,0.00014901160421546805,0.00625,True,1.0,True,True
2400.0,1.2,20.0,200,1.0,0.1772666116926568,0.004231928525857756,0.00625,True,1.0,True,True
2400.0,1.2,100.0,200,1.0,0.03963388810328576,0.0009461893631644391,0.00625,True,1.0,True,True
2400.0,1.2,1000.0,200,1.0,0.004730891867737283,0.00011294172202663632,0.00625,True,1.0,True,True
