infrared_noise_scale,modalities,measurement_dimension_per_epoch,instantaneous_rank_min,instantaneous_rank_max,horizon_rank,horizon_smallest_singular_value,horizon_largest_singular_value,horizon_condition_number,horizon_log_pseudo_determinant
0.25,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.25,ir,2,2,2,6,0.0017771693668477992,411.43962695775105,231514.02147310795,20.229528895505386
0.25,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.25,opt+ir,4,2,3,6,0.004537780570148844,1152.8039284471924,254045.76325941193,31.017633988834962
0.25,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.25,ir+rad,4,4,4,6,12.0928181510789,438.79351849235525,36.28546406721637,55.60485610681923
0.25,opt+ir+rad,6,4,4,6,27.98177024276468,1154.63958243759,41.26399339356123,62.68184994344536
0.5,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
0.5,ir,2,2,2,6,0.0008885846834238996,205.71981347887552,231514.02147310795,11.911762728786037
0.5,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
0.5,opt+ir,4,2,3,6,0.0042105351053056414,1115.9403307465616,265035.27528849704,30.057008856777465
0.5,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
0.5,ir+rad,4,4,4,6,6.103004650977693,273.6728478994001,44.842313507914184,50.80923975018821
0.5,opt+ir+rad,6,4,4,6,25.127125562629118,1117.8360225984027,44.487222376957014,62.08660884320294
1.0,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
1.0,ir,2,2,2,6,0.0004442923417119498,102.85990673943776,231514.02147310795,3.593996562066696
1.0,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
1.0,opt+ir,4,2,2,6,0.004120585100964711,1106.53256780022,268537.7296396958,29.781749157436884
1.0,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
1.0,ir+rad,4,4,4,6,3.061297166667183,260.16479598286213,84.98514904585434,46.398608309206075
1.0,opt+ir+rad,6,4,4,6,24.358886655990496,1108.4443250853094,45.504720340439434,61.91710915621629
2.0,opt,2,2,2,6,0.004089683844815255,1103.3788226247525,269795.6283402136,29.68609566056157
2.0,ir,2,2,2,6,0.0002221461708559749,51.42995336971888,231514.02147310795,-4.723769604652647
2.0,rad,2,2,2,6,0.000706940616235326,260.14193048485754,367982.71949657175,-0.6162170527411721
2.0,opt+ir,4,2,2,6,0.004097455004570557,1104.168103355219,269476.5658496703,29.71020295467642
2.0,opt+rad,4,4,4,6,24.09712642920467,1105.2960358776443,45.86837518261403,61.85833239125356
2.0,ir+rad,4,4,4,6,1.5319853496140758,260.14756038337003,169.81073640743634,42.165537510699025
2.0,opt+ir+rad,6,4,4,6,24.162843883230998,1106.083947807008,45.77623201773156,61.87313946489542
