modality,validation_profile,operating_point,calibration_expected_applicable,validation_sample_count,fixed_mean_nis,calibrated_mean_nis,calibrated_nis_95_exceedance_fraction,mean_nis_distance_from_two
OPTICAL,simplified_baseline,center_high_snr,False,200,0.000479060919771656,0.000479060919771656,0.0,1.9995209390802284
OPTICAL,simplified_baseline,center_low_snr,False,200,0.0382534503916818,0.0382534503916818,0.0,1.9617465496083182
OPTICAL,simplified_baseline,off_axis_high_snr,False,200,0.0004655364429909487,0.0004655364429909487,0.0,1.9995344635570091
OPTICAL,simplified_baseline,off_axis_low_snr,False,200,0.0412774177344533,0.0412774177344533,0.0,1.9587225822655467
RADAR,simplified_baseline,center_high_snr,False,200,0.00026644503750746217,0.00026644503750746217,0.0,1.9997335549624926
RADAR,simplified_baseline,center_low_snr,False,200,0.020027497039385472,0.020027497039385472,0.0,1.9799725029606146
RADAR,simplified_baseline,offset_high_snr,False,200,0.00036516828946572447,0.00036516828946572447,0.0,1.9996348317105344
RADAR,simplified_baseline,offset_low_snr,False,200,0.02629661152377649,0.02629661152377649,0.0,1.9737033884762236
OPTICAL,moderate_combined,center_high_snr,True,200,0.08042279366635562,2.1470346775077886,0.085,0.14703467750778865
OPTICAL,moderate_combined,center_low_snr,True,200,0.5290356288754761,1.7202407003120854,0.04,0.2797592996879146
OPTICAL,moderate_combined,off_axis_high_snr,True,200,0.07803644529351743,2.0893011136546886,0.055,0.08930111365468862
OPTICAL,moderate_combined,off_axis_low_snr,True,200,0.5180773076940375,1.7490601282728613,0.025,0.2509398717271387
RADAR,moderate_combined,center_high_snr,True,200,0.23051884873825032,1.7743837935687734,0.015,0.2256162064312266
RADAR,moderate_combined,center_low_snr,True,200,0.2579704406313257,1.97681483079862,0.04,0.02318516920138003
RADAR,moderate_combined,offset_high_snr,True,200,0.28158227897111354,2.3344839508166717,0.115,0.3344839508166717
RADAR,moderate_combined,offset_low_snr,True,200,0.364074125593201,2.2589888759086847,0.06,0.2589888759086847
OPTICAL,stressed_combined,center_high_snr,False,200,1.0751308924230707,1.0751308924230707,0.005,0.9248691075769293
OPTICAL,stressed_combined,center_low_snr,False,200,1.6270401698405692,1.6270401698405692,0.03,0.3729598301594308
OPTICAL,stressed_combined,off_axis_high_snr,False,200,1.0048514074614328,1.0048514074614328,0.0,0.9951485925385672
OPTICAL,stressed_combined,off_axis_low_snr,False,200,1.8289323229550087,1.8289323229550087,0.025,0.17106767704499126
RADAR,stressed_combined,center_high_snr,False,200,4.591788587279438,4.591788587279438,0.26,2.5917885872794377
RADAR,stressed_combined,center_low_snr,False,200,5.258955132523706,5.258955132523706,0.325,3.258955132523706
RADAR,stressed_combined,offset_high_snr,False,200,4.484264114926396,4.484264114926396,0.27,2.484264114926396
RADAR,stressed_combined,offset_low_snr,False,200,4.755843690987231,4.755843690987231,0.26,2.7558436909872306
