modality,profile,operating_point,sample_count,detection_fraction,component_0_bias,component_1_bias,component_0_rmse,component_1_rmse,joint_rmse,empirical_covariance_00,empirical_covariance_01,empirical_covariance_11,mean_reported_covariance_00,mean_reported_covariance_11,mean_nis
OPTICAL,simplified_baseline,center_high_snr,200,1.0,-4.915241418425211e-07,1.2094143043092124e-06,8.373878162855097e-06,7.68832566692852e-06,1.136803356113507e-05,7.02313964867613e-11,1.0162756649035057e-11,5.7937355378175015e-11,2.4999999999999946e-07,2.4999999999999946e-07,0.0005169287481883735
OPTICAL,simplified_baseline,off_axis_low_snr,200,1.0,3.404916225650603e-06,3.2851238494623416e-06,7.045395196087303e-05,7.208205926111742e-05,0.00010079475489443014,4.977051148142019e-09,2.690799353438651e-10,5.211086661926571e-09,2.4999999999999946e-07,2.4999999999999946e-07,0.04063833045691299
OPTICAL,moderate_combined,center_high_snr,200,1.0,5.297181123148788e-05,-5.346219210682665e-05,9.305214161735508e-05,9.780443439577087e-05,0.00013499780904538026,5.882098768273288e-09,-9.374903736073438e-10,6.741207439808442e-09,2.4999999999999946e-07,2.4999999999999946e-07,0.0728976337882118
OPTICAL,moderate_combined,off_axis_low_snr,200,1.0,5.488528098116417e-05,-5.293472371186141e-05,0.0002748702615998408,0.00027330959253119675,0.00038762326308096334,7.290579562169205e-08,-6.235358247710031e-09,7.225733507047004e-08,2.4999999999999946e-07,2.4999999999999946e-07,0.6010071763261348
OPTICAL,stressed_combined,center_high_snr,200,1.0,0.00026013898330074306,-0.00023843158583623344,0.00036183561745324773,0.00034705691290754767,0.0005013716334762968,6.35705763065615e-08,-2.236294994714629e-09,6.391847203269944e-08,2.4999999999999946e-07,2.4999999999999946e-07,1.0054940594187607
OPTICAL,stressed_combined,off_axis_low_snr,200,1.0,0.00028460680519871843,-0.00022472275173511316,0.0004530220220476941,0.000413312200787553,0.0006132339910507505,1.2485217979372895e-07,1.4435637976787153e-08,1.2093131675623043e-07,2.4999999999999946e-07,2.4999999999999946e-07,1.5042237111201282
RADAR,simplified_baseline,center_high_snr,200,1.0,-0.003571200945087867,-7.754528003299232e-06,0.02973923063033225,0.00013615610910437664,0.029739542312721263,0.0008760486053204975,-6.183359587995625e-07,1.8571209388833123e-08,6.25,0.0001562500000000001,0.00026015380485468924
RADAR,simplified_baseline,offset_low_snr,200,1.0,0.11173954547955929,-0.0009478220037340112,0.27468180392041786,0.0015232012828335694,0.274686027214933,0.0632807712371823,5.035208225052612e-05,1.4289201982547492e-06,6.25,0.0001562500000000001,0.0269209246921613
RADAR,moderate_combined,center_high_snr,200,1.0,0.5117867240405565,0.002361683625395991,0.6999221136200905,0.005455624004500461,0.6999433755438317,0.22911086857311566,7.97304761842852e-05,2.4307822846249325e-05,6.25,0.0001562500000000001,0.2688710874037888
RADAR,moderate_combined,offset_low_snr,200,1.0,0.5790228854903858,0.0008724458108649813,0.7914704651728237,0.005879036252328523,0.7914922995886582,0.29262110082339077,-1.4322778769122122e-07,3.397176438522328e-05,6.25,0.0001562500000000001,0.321431709998177
RADAR,stressed_combined,center_high_snr,200,1.0,1.9428626426932312,0.010526339490213022,2.788019958720761,0.022872138443604837,2.788113775465825,4.018432202866719,0.0030001502965163965,0.0004144029084625207,6.25,0.0001562500000000001,4.591751035129976
RADAR,stressed_combined,offset_low_snr,200,1.0,1.7498389728614694,0.010000632755901821,2.4690320699583896,0.022842758375175982,2.469137734937684,3.049430081947865,-0.0006963876321809737,0.00042389844690276965,6.25,0.0001562500000000001,4.314845403191985
