seed,scope,source,position_rmse_m,valid_radar_count,valid_infrared_count,valid_optical_count,radar_mean_nis,infrared_mean_nis,optical_mean_nis
0,single,analytic,28.420439644514467,61,61,61,,,
0,single,raw_frontend,19.086358048507634,61,61,61,,,
0,walker,analytic,1.4666736426012497,2440,2440,2440,2.0142846778783365,1.9671670512882862,2.0292218533237527
0,walker,raw_frontend,1.4618469242431424,2440,2440,2440,1.80285060119812,1.958797611480262,2.170882417529599
1,single,analytic,20.85475603391369,61,61,61,,,
1,single,raw_frontend,13.309207613311953,61,61,61,,,
1,walker,analytic,1.4852868430791037,2440,2440,2440,2.013015103023372,1.9943077035204955,1.9568525412547872
1,walker,raw_frontend,1.4808932697058723,2440,2440,2440,2.2350411311091594,1.9542050210048796,2.234792369844455
2,single,analytic,32.503777158089385,61,61,61,,,
2,single,raw_frontend,13.907480694119265,61,61,61,,,
2,walker,analytic,1.538140459123582,2440,2440,2440,2.0615154624637184,2.058765824511742,1.9576909165474836
2,walker,raw_frontend,1.515670000170359,2440,2440,2440,2.1998602515791235,2.02853482948331,2.1482740065168384
