seed,independent_position_rmse_m,cooperative_position_rmse_m,cooperative_improvement_percent,independent_worst_node_position_rmse_m,cooperative_worst_node_position_rmse_m,independent_run_seconds,cooperative_run_seconds
0,1.5907720014141415,1.4666736426012497,7.80114049672566,2.2937728275882514,1.8680185166493728,2.223612399999979,9.505260300000032
1,1.7373474611115114,1.4852868430791037,14.508359650242076,2.978446061054641,2.2656219586287683,2.313249599999949,9.320193000000017
2,1.6809282691653569,1.538140459123582,8.494580801634932,2.498708782424346,2.2908978152916393,2.2146353000000545,9.25554180000006
3,1.547948661337586,1.396616446266191,9.776307112189912,1.9759472680927799,2.1394530365634776,2.169301300000029,9.06538820000003
4,1.6689482384065946,1.455506182735335,12.78901590591212,2.325122895466807,1.9720105541687194,2.256193600000074,9.152481800000032
5,1.5913090623553037,1.4337432034782613,9.901650320763485,2.1525838125053536,2.1294293550940395,2.22823649999998,10.019132200000058
6,1.6920065566914626,1.4369775199837558,15.072579695340469,2.4562898037007783,2.129479949253329,2.400484600000027,10.56582359999993
7,1.6736073360661519,1.531672857932265,8.4807514328604,2.264506973497506,2.0482473840047373,2.30272930000001,12.031134400000042
8,1.576149988320663,1.4567472080454815,7.575597573832512,1.9370994882835717,1.6876325994971784,2.84829579999996,11.01205799999991
9,1.6583744852078564,1.408204648460652,15.085243952957264,2.43336513670279,1.9315200553225462,2.481030099999998,10.512678600000072
10,1.6740157940242577,1.5612728523251562,6.734879210910704,2.0215424435119247,2.134394445011201,2.481462899999997,10.015965000000051
11,1.6604246895854269,1.4933818334506033,10.060248873830629,2.6254899323247924,2.013186588331392,2.442042399999991,9.428427800000009
12,1.7334003598592778,1.4942171284735117,13.79849900372604,2.4978554208429906,2.10219695473877,2.2652236999999786,11.092878699999915
13,1.5991267317797537,1.4579355708925135,8.829266504106343,2.4556248451754237,2.0560294797915346,3.931226299999935,9.868462799999975
14,1.6097140006442874,1.4324011821286478,11.015175269934302,2.383914064264178,1.9084214424314005,2.2549335999999585,9.250838499999986
15,1.5983866545937777,1.428187302040996,10.648196546413045,2.38079200636515,1.9728794767264992,2.2988260000000764,9.312823900000012
16,1.664484529859562,1.5250110165218334,8.379381774698533,2.9341165626907224,2.056225437826925,2.4114337000000887,10.630440300000032
17,1.708783164702979,1.4245305847419525,16.634795205887652,2.5827883309222095,2.11373039122695,2.957674300000008,11.842571099999986
18,1.6911173762131935,1.483565589070267,12.273056268139314,2.063967839333385,2.000247231097482,2.4438285000001088,12.372955300000058
19,1.5519569400426945,1.4220282568293807,8.371925783568415,2.012023314295707,1.989911997402496,2.6079745000000685,16.508706899999993
