seed,node_id,variant,retained_neighbors,retained_modalities,position_rmse_m,steady_position_rmse_m,improvement_over_independent_percent,steady_improvement_over_independent_percent
0,sat_p03_s01,full,sat_p02_s01|sat_p04_s01,RADAR|INFRARED|OPTICAL,1.6121012297559212,0.778725390513295,-25.548043739862038,-15.208434522497441
0,sat_p03_s01,without_sat_p02_s01,sat_p04_s01,RADAR|INFRARED|OPTICAL,1.2847698536101773,0.6712050517525484,-0.0559634838366968,0.698649102693197
0,sat_p03_s01,without_sat_p04_s01,sat_p02_s01,RADAR|INFRARED|OPTICAL,1.6825517560202043,0.7888711873592399,-31.034625841324537,-16.709453220287855
0,sat_p03_s01,radar_only,sat_p02_s01|sat_p04_s01,RADAR,1.6126822722463496,0.7784013380534589,-25.593294463983177,-15.16049262018413
0,sat_p03_s01,infrared_only,sat_p02_s01|sat_p04_s01,INFRARED,1.2836324586638832,0.6763502889339851,0.03261514127138308,-0.0625623951488595
0,sat_p03_s01,optical_only,sat_p02_s01|sat_p04_s01,OPTICAL,1.2835767662263458,0.675877167460266,0.036952385394067325,0.007433504548487889
1,sat_p03_s01,full,sat_p02_s01|sat_p04_s01,RADAR|INFRARED|OPTICAL,1.581788770182808,1.0513604269843855,-6.254892295724112,-19.633180048367183
1,sat_p03_s01,without_sat_p02_s01,sat_p04_s01,RADAR|INFRARED|OPTICAL,1.8207052689908305,1.2607121228284768,-22.303841009390894,-43.45508591387979
1,sat_p03_s01,without_sat_p04_s01,sat_p02_s01,RADAR|INFRARED|OPTICAL,1.487897050042404,0.8668826812943418,0.052179039613479056,1.3583455965120363
1,sat_p03_s01,radar_only,sat_p02_s01|sat_p04_s01,RADAR,1.5814948973000718,1.0509355908022135,-6.235151713357885,-19.58483839295733
1,sat_p03_s01,infrared_only,sat_p02_s01|sat_p04_s01,INFRARED,1.488865215205133,0.8787405672224016,-0.012856372844496101,0.009049421941783816
1,sat_p03_s01,optical_only,sat_p02_s01|sat_p04_s01,OPTICAL,1.4886495100659083,0.878748104335734,0.001633378738011151,0.008191781865931787
2,sat_p03_s01,full,sat_p02_s01|sat_p04_s01,RADAR|INFRARED|OPTICAL,1.6184980366440465,1.1707908895935657,-1.7951855465390234,9.044475883739532
2,sat_p03_s01,without_sat_p02_s01,sat_p04_s01,RADAR|INFRARED|OPTICAL,1.4091820505478758,1.2314955915428574,11.369711265258942,4.328494549074432
2,sat_p03_s01,without_sat_p04_s01,sat_p02_s01,RADAR|INFRARED|OPTICAL,1.8737103341662071,1.352868479019054,-17.84672381957585,-5.100631259833839
2,sat_p03_s01,radar_only,sat_p02_s01|sat_p04_s01,RADAR,1.618860319545468,1.171257294172506,-1.8179712740070764,9.008242194782097
2,sat_p03_s01,infrared_only,sat_p02_s01|sat_p04_s01,INFRARED,1.589407550758009,1.2867992309360154,0.03445609735715988,0.032106909529712985
2,sat_p03_s01,optical_only,sat_p02_s01|sat_p04_s01,OPTICAL,1.5900327407827,1.2870649113258203,-0.004865133268008342,0.011466930762449135
3,sat_p03_s01,full,sat_p02_s01|sat_p04_s01,RADAR|INFRARED|OPTICAL,1.5039943814668708,1.0269446991406945,-10.238638299572726,-37.036323209764426
3,sat_p03_s01,without_sat_p02_s01,sat_p04_s01,RADAR|INFRARED|OPTICAL,1.3685322400798388,0.738441495520426,-0.3096371067052055,1.4617753650090908
3,sat_p03_s01,without_sat_p04_s01,sat_p02_s01,RADAR|INFRARED|OPTICAL,1.5332450575399823,1.0038873623619973,-12.382632146475759,-33.95953372167822
3,sat_p03_s01,radar_only,sat_p02_s01|sat_p04_s01,RADAR,1.5036235517268781,1.026884924949877,-10.211457502834701,-37.028346893864146
3,sat_p03_s01,infrared_only,sat_p02_s01|sat_p04_s01,INFRARED,1.3645754542288193,0.7491846737165461,-0.0196156214959489,0.02819706150795774
3,sat_p03_s01,optical_only,sat_p02_s01|sat_p04_s01,OPTICAL,1.3645761022075416,0.7494662192252377,-0.019663116548368293,-0.009372596682603767
4,sat_p03_s01,full,sat_p02_s01|sat_p04_s01,RADAR|INFRARED|OPTICAL,1.2739690571298985,0.7679152333085344,15.309502453562443,24.51415529797252
4,sat_p03_s01,without_sat_p02_s01,sat_p04_s01,RADAR|INFRARED|OPTICAL,1.4250994560525465,0.8925550245524747,5.262705313931767,12.262099970203
4,sat_p03_s01,without_sat_p04_s01,sat_p02_s01,RADAR|INFRARED|OPTICAL,1.3741472887063455,0.977627639928105,8.649886799595686,3.8994865539120545
4,sat_p03_s01,radar_only,sat_p02_s01|sat_p04_s01,RADAR,1.273166289749008,0.7673213558851707,15.362868560471535,24.572533276436275
4,sat_p03_s01,infrared_only,sat_p02_s01|sat_p04_s01,INFRARED,1.5049939962968846,1.0179949674060644,-0.048497753888861045,-0.06861002871276249
4,sat_p03_s01,optical_only,sat_p02_s01|sat_p04_s01,OPTICAL,1.5043554564502761,1.0174343483193915,-0.006049111192368149,-0.013501335099202635
