seed,policy,communication_weight,topology_switch_weight,resynchronization_weight,final_position_rmse,cumulative_task_reward,cumulative_penalized_return,transmitted_messages,dropped_messages,replay_count,resynchronization_count,topology_switch_count
0,short_horizon_oracle,0.0,0.003,0.001,1.2111025693653201,1.5388917392766515,1.5288917392766515,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.003,0.001,0.9729675584284184,2.184669339510428,2.164669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.003,0.001,1.1619187071276351,1.4304682201307113,1.4054682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.003,0.002,1.2111025693653201,1.5388917392766515,1.5248917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.003,0.002,0.9729675584284184,2.184669339510428,2.156669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.003,0.002,1.1619187071276351,1.4304682201307113,1.3954682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.003,0.003,1.2111025693653201,1.5388917392766515,1.5208917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.003,0.003,0.9729675584284184,2.184669339510428,2.148669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.003,0.003,1.1619187071276351,1.4304682201307113,1.3854682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.005,0.001,1.2111025693653201,1.5388917392766515,1.5248917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.005,0.001,0.9729675584284184,2.184669339510428,2.156669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.005,0.001,1.1619187071276351,1.4304682201307113,1.3954682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.005,0.002,1.2111025693653201,1.5388917392766515,1.5208917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.005,0.002,0.9729675584284184,2.184669339510428,2.148669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.005,0.002,1.1619187071276351,1.4304682201307113,1.3854682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.005,0.003,1.2111025693653201,1.5388917392766515,1.5168917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.005,0.003,0.9729675584284184,2.184669339510428,2.140669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.005,0.003,1.1619187071276351,1.4304682201307113,1.3754682201307113,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.007,0.001,1.2111025693653201,1.5388917392766515,1.5208917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.007,0.001,0.9729675584284184,2.184669339510428,2.148669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.007,0.001,1.1619187071276351,1.4304682201307113,1.3854682201307114,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.007,0.002,1.2111025693653201,1.5388917392766515,1.5168917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.007,0.002,0.9729675584284184,2.184669339510428,2.140669339510428,25.0,3.0,22.0,8.0,4.0
2,short_horizon_oracle,0.0,0.007,0.002,1.1619187071276351,1.4304682201307113,1.3754682201307113,27.0,2.0,19.0,10.0,5.0
0,short_horizon_oracle,0.0,0.007,0.003,1.2111025693653201,1.5388917392766515,1.5128917392766514,21.0,5.0,22.0,4.0,2.0
1,short_horizon_oracle,0.0,0.007,0.003,0.9845358710365893,2.1731010269022573,2.1341010269022576,23.0,3.0,22.0,6.0,3.0
2,short_horizon_oracle,0.0,0.007,0.003,1.1619187071276351,1.4304682201307113,1.3654682201307113,27.0,2.0,19.0,10.0,5.0
