seed,policy,communication_weight,topology_switch_weight,resynchronization_weight,final_position_rmse,cumulative_task_reward,cumulative_penalized_return,transmitted_messages,dropped_messages,replay_count,resynchronization_count,topology_switch_count
0,keep,0.0,0.0,0.0,1.2902789582122807,1.459715350429691,1.459715350429691,21.0,3.0,24.0,0.0,0.0
0,information_greedy,0.0,0.0,0.0,1.2658266985612718,1.4841676100806998,1.4841676100806998,43.0,7.0,40.0,12.0,6.0
0,short_horizon_oracle,0.0,0.0,0.0,1.21576140555367,1.5342329030883015,1.5342329030883015,23.0,5.0,22.0,10.0,5.0
0,keep,0.0,0.005,0.002,1.2902789582122807,1.459715350429691,1.459715350429691,21.0,3.0,24.0,0.0,0.0
0,information_greedy,0.0,0.005,0.002,1.2658266985612718,1.4841676100806998,1.4301676100806997,43.0,7.0,40.0,12.0,6.0
0,short_horizon_oracle,0.0,0.005,0.002,1.2111025693653201,1.5388917392766515,1.5208917392766514,21.0,5.0,22.0,4.0,2.0
1,keep,0.0,0.0,0.0,0.9824319043202188,2.1752049936186277,2.1752049936186277,23.0,2.0,23.0,0.0,0.0
1,information_greedy,0.0,0.0,0.0,0.9657985393359626,2.191838358602884,2.191838358602884,46.0,4.0,40.0,12.0,6.0
1,short_horizon_oracle,0.0,0.0,0.0,0.9739998284043108,2.1836370695345355,2.1836370695345355,27.0,3.0,24.0,8.0,4.0
2,keep,0.0,0.0,0.0,1.2333739518956248,1.3590129753627216,1.3590129753627216,23.0,1.0,24.0,0.0,0.0
2,information_greedy,0.0,0.0,0.0,1.2307049194975006,1.3616820077608458,1.3616820077608458,45.0,4.0,41.0,12.0,6.0
2,short_horizon_oracle,0.0,0.0,0.0,1.1608636568364243,1.431523270421922,1.431523270421922,28.0,2.0,18.0,12.0,6.0
1,keep,0.0,0.005,0.002,0.9824319043202188,2.1752049936186277,2.1752049936186277,23.0,2.0,23.0,0.0,0.0
1,information_greedy,0.0,0.005,0.002,0.9657985393359626,2.191838358602884,2.137838358602884,46.0,4.0,40.0,12.0,6.0
1,short_horizon_oracle,0.0,0.005,0.002,0.9729675584284184,2.184669339510428,2.148669339510428,25.0,3.0,22.0,8.0,4.0
2,keep,0.0,0.005,0.002,1.2333739518956248,1.3590129753627216,1.3590129753627216,23.0,1.0,24.0,0.0,0.0
2,information_greedy,0.0,0.005,0.002,1.2307049194975006,1.3616820077608458,1.3076820077608458,45.0,4.0,41.0,12.0,6.0
2,short_horizon_oracle,0.0,0.005,0.002,1.1619187071276351,1.4304682201307113,1.3854682201307114,27.0,2.0,19.0,10.0,5.0
