resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,0.0,0.0,0.0,0.014107285995781574,0.75,0.875,5,24,6,5,10,3
absolute,0.0,0.0,0.0,0.00959466060328655,0.5,0.875,10,16,8,2,5,1
absolute,0.0,0.0,0.0,0.005561518968787947,0.75,0.875,20,16,4,7,4,1
absolute,0.0,0.0,0.25,0.013919785995781574,0.75,0.875,5,24,6,5,10,3
absolute,0.0,0.0,0.25,0.00946966060328655,0.5,0.875,10,16,8,2,5,1
absolute,0.0,0.0,0.25,0.005374018968787947,0.75,0.875,20,16,4,7,4,1
absolute,0.0,0.0,0.5,0.013746222823070678,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.0,0.0,0.5,0.00934466060328655,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.0,0.0,0.5,0.005186518968787947,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.0,0.0,1.0,0.0134318650564388,0.5833333333333334,0.9464285714285714,5,24,10,3,8,3
absolute,0.0,0.0,1.0,0.00909466060328655,0.5,0.9464285714285714,10,16,8,2,5,1
absolute,0.0,0.0,1.0,0.0048115189687879464,0.75,0.9464285714285714,20,16,4,7,4,1
absolute,0.0,0.0,2.0,0.012960544711496635,0.4583333333333333,0.9464285714285714,5,24,13,0,8,3
absolute,0.0,0.0,2.0,0.008654417089301682,0.375,0.9464285714285714,10,16,10,1,5,0
absolute,0.0,0.0,2.0,0.0040930451187920994,0.6875,0.9464285714285714,20,16,5,6,4,1
absolute,0.0,0.5,0.0,0.013982285995781574,0.75,0.875,5,24,6,5,10,3
absolute,0.0,0.5,0.0,0.00955091060328655,0.5,0.875,10,16,8,2,5,1
absolute,0.0,0.5,0.0,0.005527143968787947,0.75,0.875,20,16,4,7,4,1
absolute,0.0,0.5,0.25,0.01380455615640401,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.0,0.5,0.25,0.00942591060328655,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.0,0.5,0.25,0.005339643968787947,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.0,0.5,0.5,0.013638017768404925,0.625,0.9285714285714286,5,24,9,4,8,3
absolute,0.0,0.5,0.5,0.00930091060328655,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.0,0.5,0.5,0.005152143968787947,0.75,0.9285714285714286,20,16,4,7,4,1
absolute,0.0,0.5,1.0,0.0133522113781633,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.0,0.5,1.0,0.009050910603286551,0.5,1.0,10,16,8,2,5,1
absolute,0.0,0.5,1.0,0.004777143968787947,0.75,1.0,20,16,4,7,4,1
absolute,0.0,0.5,2.0,0.012893878044829969,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.0,0.5,2.0,0.00861827352483011,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.0,0.5,2.0,0.004061795118792099,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.0,1.0,0.0,0.013862889489737346,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.0,1.0,0.0,0.00950716060328655,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.0,1.0,0.0,0.005492768968787948,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.0,1.0,0.25,0.013696222823070677,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.0,1.0,0.25,0.00938216060328655,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.0,1.0,0.25,0.005305268968787948,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.0,1.0,0.5,0.013540198389772135,0.5833333333333334,0.9464285714285714,5,24,10,3,8,3
