condition,node_count,seed,passed,runtime_seconds,position_rmse_m,mean_nees,nees_95_coverage,minimum_covariance_eigenvalue,resynchronization_count,protocol_rejection_count,dropped_message_count,absolute_observation_count,suppressed_absolute_observation_count,target_node_position_rmse_m,target_pre_dropout_rmse_m,target_dropout_rmse_m,target_post_recovery_rmse_m,navigation_dropout_node_count,affected_nodes_position_rmse_m,affected_nodes_dropout_rmse_m,affected_nodes_post_recovery_rmse_m,failure_reasons
multi_node_navigation_reference,5,0,True,0.6652672000054736,1.5233639582288134,5.095091933233108,1.0,7.326367359095348e-05,0,0,0,55,0,1.0789845938276363,1.4930512033900007,0.9619171946682924,0.7052791778356775,0,1.2481740809468165,0.9447210382821509,0.6382964657250508,
multi_node_navigation_reference,5,1,True,0.5752603000000818,2.4861012581219333,10.744865855044253,0.7818181818181819,7.326366863814957e-05,0,0,0,55,0,2.6959182618162654,3.9374345558556603,2.2232776558846785,1.705162523790586,0,2.424156218754611,2.253546495128406,1.7108020881291321,
multi_node_navigation_reference,5,2,True,0.5637428000045475,1.75473588742151,5.640310454321641,0.9454545454545454,7.326371770790291e-05,0,0,0,55,0,1.7225456683054592,1.855529420674923,1.6793502842863655,1.6541608339520453,0,1.9307058095811174,1.6915718860779827,1.7799032066638714,
multi_node_navigation_reference,10,0,True,1.1923171000089496,2.2942053864080347,7.425052588582577,0.9090909090909091,7.325014994468716e-05,0,0,0,110,0,2.572304104807687,4.311873532747908,1.6333173720131402,1.1058698247503196,0,3.014195384534348,2.275448047783125,1.6666943036784874,
multi_node_navigation_reference,10,1,True,1.0890932000038447,1.8698042132707362,7.675090308871867,0.9454545454545454,7.324977629281618e-05,0,0,0,110,0,1.3933760306492966,2.1428153912547674,1.11395299741679,0.6775038955370589,0,1.5286816130432257,1.1609083292518472,0.6622045126871239,
multi_node_navigation_reference,10,2,True,1.0809865999908652,1.8829417183276944,6.394160284538693,0.9363636363636364,7.324990482304207e-05,0,0,0,110,0,2.9818203179230456,4.05407703422727,2.57333439715537,2.264722580207397,0,2.5785699858001667,2.3205135840915956,2.0965202897029735,
multi_node_navigation_reference,20,0,True,2.2128606000042055,1.864319386851283,6.6459849066407335,0.9363636363636364,7.324861637257634e-05,0,0,0,220,0,1.6282994732529186,2.20424049630993,1.617846085931977,0.7075291831455969,0,1.2954394591190945,1.1979349169491833,0.7213370102900855,
multi_node_navigation_reference,20,1,True,2.213412500001141,1.9100344807087817,6.585517096278618,0.9136363636363637,7.324867616415879e-05,0,0,0,220,0,1.883607534085963,2.4627318584471576,1.7007685080570116,1.4571134201215878,0,2.07227040855152,2.0025909449280475,1.5779030456386933,
multi_node_navigation_reference,20,2,True,2.2023441000055755,2.0342390396798757,7.596982625013204,0.9363636363636364,7.32485842374892e-05,0,0,0,220,0,2.7929165020314315,4.324327140142397,1.9907939982355847,1.8155338148456366,0,2.9125083624808186,1.9345155594353265,1.637054180774502,
multi_node_navigation_dropout,5,0,True,0.7043203000066569,1.3578742997581739,4.132170542803854,1.0,7.331957141763406e-05,0,0,0,45,10,1.1481469553064236,1.4930512033900007,1.0794013875169386,0.8139437482760644,2,1.3522581824740354,1.2136851426264963,0.6557418999034585,
multi_node_navigation_dropout,5,1,True,0.7011494000034872,2.337369793056298,8.310176859425765,0.9272727272727272,7.331750570980277e-05,0,0,0,45,10,3.214474304046173,3.9374345558556603,3.1734026435986356,2.366340439593847,2,2.485423325720796,2.444578818068762,1.6972208626454233,
multi_node_navigation_dropout,5,2,True,0.7020125999988522,1.6845972336797497,4.731068062041526,0.8363636363636363,7.331907057950832e-05,0,0,0,45,10,1.6554733885724726,1.855529420674923,1.8007941997731842,1.095938942997208,2,1.883020757187714,1.8048132505024452,1.3504083495630064,
multi_node_navigation_dropout,10,0,True,1.2698909000027925,2.410282167382082,7.399986611711479,0.8818181818181818,7.325008993952269e-05,0,0,0,100,10,3.2284455486538475,4.311873532747908,2.7456629243806447,2.6571527812066775,2,3.4661858865804778,3.118028321239366,2.4851692744417537,
multi_node_navigation_dropout,10,1,True,1.1996668999927351,1.8436505612471572,7.117901310718724,0.9181818181818182,7.324982373686304e-05,0,0,0,100,10,1.9049498543214594,2.1428153912547674,1.957777133407492,1.5250949149491855,2,1.9793331368693536,1.8963702908508413,1.561116634705497,
multi_node_navigation_dropout,10,2,True,1.174912000002223,1.9088307257197143,5.702847489034438,0.9545454545454546,7.324986761846938e-05,0,0,0,100,10,3.755546761794675,4.05407703422727,3.7791634389207447,3.3876463309879266,2,2.8074163892307427,2.7581309730371797,2.2275724538779427,
multi_node_navigation_dropout,20,0,True,2.241311299992958,1.6336127743159807,5.341265618676689,0.9727272727272728,7.324869427063117e-05,0,0,0,210,10,1.6787873642839344,2.20424049630993,1.6267281100607645,1.0318828974656176,2,1.2581966701321194,1.0379732574827283,0.8274168484409719,
multi_node_navigation_dropout,20,1,True,2.2850915000017267,2.0585167329752503,7.429667353683636,0.8136363636363636,7.324870792206014e-05,0,0,0,210,10,2.4280896914239554,2.4627318584471576,2.3699666795385443,2.488169348145038,2,2.368053060507852,2.4570784348937638,1.9030031530031224,
multi_node_navigation_dropout,20,2,True,2.259519299987005,2.2003981066907867,8.208433697029863,0.9045454545454545,7.324871699114171e-05,0,0,0,210,10,3.581999258280217,4.324327140142397,3.623322192799245,2.5427132057735924,2,3.4636993607822477,3.2081409012317446,2.0349445973245612,
