condition,node_count,seed,passed,runtime_seconds,position_rmse_m,mean_nees,nees_95_coverage,minimum_covariance_eigenvalue,resynchronization_count,protocol_rejection_count,dropped_message_count,absolute_observation_count,suppressed_absolute_observation_count,target_node_position_rmse_m,target_pre_dropout_rmse_m,target_dropout_rmse_m,target_post_recovery_rmse_m,failure_reasons
normal,5,0,True,0.7508769999985816,1.5233639582288134,5.095091933233108,1.0,7.326367359095348e-05,0,0,0,55,0,1.0789845938276363,1.4930512033900007,0.9619171946682924,0.7052791778356775,
normal,5,1,True,0.6355050999991363,2.4861012581219333,10.744865855044253,0.7818181818181819,7.326366863814957e-05,0,0,0,55,0,2.6959182618162654,3.9374345558556603,2.2232776558846785,1.705162523790586,
normal,5,2,True,0.7132056999980705,1.75473588742151,5.640310454321641,0.9454545454545454,7.326371770790291e-05,0,0,0,55,0,1.7225456683054592,1.855529420674923,1.6793502842863655,1.6541608339520453,
normal,10,0,True,1.242770600001677,2.2942053864080347,7.425052588582577,0.9090909090909091,7.325014994468716e-05,0,0,0,110,0,2.572304104807687,4.311873532747908,1.6333173720131402,1.1058698247503196,
normal,10,1,True,1.3408576999936486,1.8698042132707362,7.675090308871867,0.9454545454545454,7.324977629281618e-05,0,0,0,110,0,1.3933760306492966,2.1428153912547674,1.11395299741679,0.6775038955370589,
normal,10,2,True,1.5196825000020908,1.8829417183276944,6.394160284538693,0.9363636363636364,7.324990482304207e-05,0,0,0,110,0,2.9818203179230456,4.05407703422727,2.57333439715537,2.264722580207397,
normal,20,0,True,2.239694600008079,1.864319386851283,6.6459849066407335,0.9363636363636364,7.324861637257634e-05,0,0,0,220,0,1.6282994732529186,2.20424049630993,1.617846085931977,0.7075291831455969,
normal,20,1,True,2.246422199998051,1.9100344807087817,6.585517096278618,0.9136363636363637,7.324867616415879e-05,0,0,0,220,0,1.883607534085963,2.4627318584471576,1.7007685080570116,1.4571134201215878,
normal,20,2,True,2.2301563000073656,2.0342390396798757,7.596982625013204,0.9363636363636364,7.32485842374892e-05,0,0,0,220,0,2.7929165020314315,4.324327140142397,1.9907939982355847,1.8155338148456366,
absolute_navigation_dropout,5,0,True,0.5986224000080256,1.3817613986457264,4.224825314847864,1.0,7.332002903144151e-05,0,0,0,50,5,1.0827585017713321,1.4930512033900007,1.070961315913415,0.39733668174951436,
absolute_navigation_dropout,5,1,True,0.6013313000003109,2.345559869890561,8.556543504415608,0.9818181818181818,7.331813527271674e-05,0,0,0,50,5,2.47432276121285,3.9374345558556603,1.933921215172455,0.843519495093131,
absolute_navigation_dropout,5,2,True,0.585412800006452,1.6636384982563415,4.829316276132941,1.0,7.33199408263156e-05,0,0,0,50,5,1.633978244771485,1.855529420674923,1.7953748022177216,0.9870684294227471,
absolute_navigation_dropout,10,0,True,1.12369980000949,2.294516694126503,7.298874971379539,0.9545454545454546,7.32500151814843e-05,0,0,0,105,5,2.8643828700427716,4.311873532747908,2.31896797255472,1.5902577476864752,
absolute_navigation_dropout,10,1,True,1.1185355000052368,1.8582542489400127,6.8972604328009375,0.9636363636363636,7.324978126060813e-05,0,0,0,105,5,1.6474446001819036,2.1428153912547674,1.343968914975776,1.5328160568327438,
absolute_navigation_dropout,10,2,True,1.1303062999941176,1.8268770657982978,5.948966623793711,0.9727272727272728,7.324994101678639e-05,0,0,0,105,5,2.908690775000598,4.05407703422727,2.5821450413438325,1.8638057301553448,
absolute_navigation_dropout,20,0,True,2.2484445000009146,1.7316799195109402,6.206039026573169,0.9636363636363636,7.324869147099971e-05,0,0,0,215,5,2.1501259591416892,2.20424049630993,2.2037062916857266,1.9996518401237109,
absolute_navigation_dropout,20,1,True,2.244819200001075,1.9954164035388036,7.373010264481892,0.7863636363636364,7.324869339887624e-05,0,0,0,215,5,2.0673101709275605,2.4627318584471576,2.269968941612323,1.008719513669239,
absolute_navigation_dropout,20,2,True,2.280429100006586,2.027261453501725,6.942038306575443,0.9318181818181818,7.32487613223571e-05,0,0,0,215,5,3.5288122640114197,4.324327140142397,3.5260528502470345,2.4975332351755175,
