condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1500,0,5,keep,0,0,keep,0.0756593570113182,0.0,0.0038333333333333336,0.0,0.0,-0.0038333333333333336,0.0
1500,0,5,keep,0,1,add,0.12201660871505737,0.0036048289894159424,0.004833333333333333,0.0004,0.001,-0.0026285043439173905,0.001204828989415943
1500,0,5,keep,0,2,swap,0.004448595456779003,0.004202075389090787,0.0038333333333333336,0.0004,0.001,-0.0010312579442425466,0.0028020753890907867
1500,0,5,keep,0,20,add,0.1265382170677185,0.0001824418588913801,0.004833333333333333,0.0004,0.001,-0.006050891474441953,-0.0022175581411086193
1500,0,5,keep,0,22,swap,0.0015485826879739761,-0.03747256190666293,0.0038333333333333336,0.0004,0.001,-0.04270589523999626,-0.038872561906662925
1500,0,5,keep,3,0,keep,0.07409291714429855,0.0,0.0033333333333333335,0.0,0.0,-0.0033333333333333335,0.0
1500,0,5,keep,3,1,add,0.11899516731500626,0.00012053547111900986,0.004333333333333333,0.0004,0.001,-0.0056127978622143235,-0.00227946452888099
1500,0,5,keep,3,2,swap,0.006471970584243536,0.0006969213119780715,0.004,0.0004,0.001,-0.004703078688021929,-0.0013697453546885952
1500,0,5,keep,3,20,add,0.1347985714673996,5.4640548240336706e-05,0.004333333333333333,0.0004,0.001,-0.005678692785092997,-0.002345359451759663
1500,0,5,keep,3,22,swap,0.0012263425160199404,-0.009841824448839076,0.0033333333333333335,0.0004,0.001,-0.014575157782172408,-0.011241824448839075
1500,0,5,keep,6,0,keep,0.0895906388759613,0.0,0.0035,0.0,0.0,-0.0035,0.0
1500,0,5,keep,6,1,add,0.13527925312519073,0.00031620219908379266,0.0045000000000000005,0.0004,0.001,-0.005583797800916208,-0.002083797800916208
1500,0,5,keep,6,2,swap,0.009274694137275219,-0.0007672661559515737,0.004,0.0004,0.001,-0.006167266155951574,-0.002667266155951574
1500,0,5,keep,6,20,add,0.136060893535614,-0.0005731058239676345,0.0045000000000000005,0.0004,0.001,-0.006473105823967635,-0.002973105823967635
1500,0,5,keep,6,22,swap,0.005445122253149748,0.0003583455181798145,0.0035,0.0004,0.001,-0.004541654481820185,-0.0010416544818201852
1500,0,5,keep,9,0,keep,0.08636936545372009,0.0,0.002,0.0,0.0,-0.002,0.0
1500,0,5,keep,9,1,add,0.12766005098819733,-0.000937877638724216,0.0026666666666666666,0.0004,0.001,-0.005004544305390882,-0.0030045443053908823
1500,0,5,keep,9,2,swap,0.011672344990074635,-0.011278618892100023,0.0021666666666666666,0.0004,0.001,-0.014845285558766689,-0.012845285558766689
1500,0,5,keep,9,20,add,0.14118964970111847,0.0008476650871870328,0.0025,0.0004,0.001,-0.0030523349128129674,-0.0010523349128129674
1500,0,5,keep,9,22,swap,0.003300569485872984,-0.007881989967447711,0.002,0.0004,0.001,-0.011281989967447711,-0.009281989967447711
1500,0,5,policy,0,0,keep,0.0756593570113182,0.0,0.0038333333333333336,0.0,0.0,-0.0038333333333333336,0.0
1500,0,5,policy,0,1,add,0.12201660871505737,0.0036048289894159424,0.004833333333333333,0.0004,0.001,-0.0026285043439173905,0.001204828989415943
1500,0,5,policy,0,2,swap,0.004448595456779003,0.004202075389090787,0.0038333333333333336,0.0004,0.001,-0.0010312579442425466,0.0028020753890907867
1500,0,5,policy,0,20,add,0.1265382170677185,0.0001824418588913801,0.004833333333333333,0.0004,0.001,-0.006050891474441953,-0.0022175581411086193
1500,0,5,policy,0,22,swap,0.0015485826879739761,-0.03747256190666293,0.0038333333333333336,0.0004,0.001,-0.04270589523999626,-0.038872561906662925
1500,0,5,policy,3,0,keep,1.0,0.0,0.005166666666666667,0.0,0.0,-0.005166666666666667,0.0
1500,0,5,policy,6,0,keep,0.10761316865682602,0.0,0.006333333333333333,0.0,0.0,-0.006333333333333333,0.0
1500,0,5,policy,6,1,add,0.2587781548500061,0.00030717062688168095,0.007333333333333333,0.0004,0.001,-0.008426162706451652,-0.0020928293731183184
1500,0,5,policy,6,2,swap,0.008478670381009579,6.64990395506937e-05,0.006833333333333334,0.0004,0.001,-0.00816683429378264,-0.001833500960449307
1500,0,5,policy,6,17,add,0.23362550139427185,0.00011181200815968406,0.007333333333333333,0.0004,0.001,-0.008621521325173648,-0.0022881879918403153
1500,0,5,policy,6,24,swap,0.005759702529758215,-0.0037224442062290253,0.006333333333333333,0.0004,0.001,-0.011455777539562357,-0.005122444206229024
1500,0,5,policy,6,25,remove,0.003258808283135295,-0.00020577267234644925,0.005833333333333334,0.0,0.001,-0.007039106005679783,-0.0007057726723464497
1500,0,5,policy,6,31,remove,0.0033329229336231947,-0.0038349600794880256,0.005333333333333333,0.0,0.001,-0.010168293412821359,-0.0038349600794880256
1500,0,5,policy,9,0,keep,1.0,0.0,0.004166666666666667,0.0,0.0,-0.004166666666666667,0.0
1501,0,10,keep,0,0,keep,0.093861423432827,0.0,0.004166666666666667,0.0,0.0,-0.004166666666666667,0.0
1501,0,10,keep,0,1,add,0.7894467711448669,0.021643141577559533,0.004583333333333333,0.0002,0.001,0.015859808244226198,0.020026474910892864
1501,0,10,keep,0,2,swap,0.00800043810158968,0.03465003765329433,0.004166666666666667,0.0002,0.001,0.029283370986627665,0.03345003765329433
1501,0,10,keep,0,10,swap,0.011608834378421307,0.019267248013232763,0.004166666666666667,0.0002,0.001,0.013900581346566097,0.018067248013232763
1501,0,10,keep,3,0,keep,0.09704113006591797,0.0,0.004,0.0,0.0,-0.004,0.0
1501,0,10,keep,3,1,add,0.7959403991699219,-0.001848193084215688,0.004416666666666667,0.0002,0.001,-0.0074648597508823545,-0.0034648597508823544
1501,0,10,keep,3,2,swap,0.007216859143227339,-0.014384094806757286,0.003916666666666667,0.0002,0.001,-0.01950076147342395,-0.015500761473423951
1501,0,10,keep,3,10,swap,0.007642955053597689,-0.006096711375327302,0.004,0.0002,0.001,-0.011296711375327301,-0.007296711375327301
1501,0,10,keep,6,0,keep,0.06674724817276001,0.0,0.0036666666666666666,0.0,0.0,-0.0036666666666666666,0.0
1501,0,10,keep,6,1,add,0.7776263952255249,0.002078297031545162,0.004083333333333333,0.0002,0.001,-0.003205036301788171,0.0004616303648784957
